delta,a_speed,a_position,b_speed,b_position
1.6689300537109375e-06,0,0,0,0
0.13528013229370117,0,0,0,0
0.049273014068603516,0,0,0,0
0.04924821853637695,0,2,0,3
0.04945635795593262,0,9,0,11
0.04946279525756836,0,19,0,22
0.04902172088623047,0,29,0,33
0.050208330154418945,0,41,0,45
0.049451589584350586,0,53,0,57
0.0500941276550293,0,65,0,68
0.048847198486328125,0,76,0,80
0.04928112030029297,0,89,0,93
0.04890275001525879,0,101,0,105
0.05114912986755371,0,113,0,117
0.049629926681518555,0,125,0,129
0.051819801330566406,0,138,0,142
0.048879146575927734,0,150,0,154
0.05179023742675781,0,163,0,167
0.04954838752746582,0,175,0,179
0.05103421211242676,0,-174,0,-170
0.049901485443115234,0,-161,0,-158
0.04830670356750488,0,-149,0,-146
0.052681684494018555,0,-136,0,-133
0.049518585205078125,0,-124,0,-121
0.04907655715942383,0,-112,0,-109
0.048993825912475586,0,-100,0,-97
0.048807382583618164,0,-88,0,-85
0.049428701400756836,0,-75,0,-72
0.04886817932128906,0,-63,0,-61
0.050079345703125,0,-51,0,-49
0.05001950263977051,0,-39,0,-36
0.049236297607421875,0,-27,0,-24
0.049684762954711914,0,-14,0,-12
0.04925680160522461,0,-3,0,0
0.04961895942687988,0,10,0,12
0.0488433837890625,0,22,0,24
0.05264449119567871,0,35,0,37
0.04968070983886719,0,47,0,49
0.05055975914001465,0,59,0,62
0.04860997200012207,0,71,0,73
0.04904603958129883,0,83,0,85
0.04887127876281738,0,96,0,97
0.0506284236907959,0,108,0,110
0.06270909309387207,0,123,0,125
0.04959726333618164,0,135,0,137
0.04915475845336914,0,148,0,150
0.0498809814453125,0,160,0,162
0.05010843276977539,0,172,0,174
0.04987907409667969,0,-177,0,-175
0.04934501647949219,0,-165,0,-163
0.0512700080871582,0,-152,0,-150
0.04897594451904297,0,-140,0,-138
0.049025535583496094,0,-128,0,-126
0.04889941215515137,0,-116,0,-115
0.049376726150512695,0,-104,0,-103
0.04912304878234863,0,-91,0,-90
0.048883676528930664,0,-79,0,-78
0.04884910583496094,0,-67,0,-66
0.05148577690124512,0,-55,0,-54
0.04823875427246094,0,-43,0,-42
0.05064249038696289,0,-30,0,-29
0.0487666130065918,0,-18,0,-17
0.04808640480041504,0,-6,0,-5
0.0483400821685791,0,5,0,6
0.04860401153564453,0,17,0,18
0.04837155342102051,0,29,0,30
0.04802083969116211,0,41,0,42
0.04901933670043945,0,53,0,54
0.04902195930480957,0,65,0,66
0.04933762550354004,0,77,0,77
0.04949641227722168,0,89,0,90
0.04810595512390137,0,101,0,102
0.04817366600036621,0,113,0,114
0.04852890968322754,0,125,0,126
0.04842734336853027,0,137,0,137
0.04903745651245117,0,149,0,149
0.04873776435852051,0,161,0,161
0.048348426818847656,0,173,0,173
0.04907941818237305,0,-176,0,-176
0.052779197692871094,0,-163,0,-163
0.050373077392578125,0,-151,0,-151
0.04895162582397461,0,-139,0,-139
0.04883265495300293,0,-127,0,-127
0.05804014205932617,0,-112,0,-113
0.049164533615112305,0,-100,0,-101
0.0504460334777832,0,-88,0,-89
0.048624515533447266,0,-76,0,-76
0.05161905288696289,0,-63,0,-63
0.04909062385559082,0,-51,0,-52
0.05420637130737305,0,-38,0,-39
0.04870152473449707,0,-26,0,-27
0.05131030082702637,0,-13,0,-14
0.05285453796386719,0,-1,0,-1
0.05440378189086914,0,13,0,12
0.0520479679107666,0,26,0,25
0.05348515510559082,0,39,0,38
0.052880048751831055,0,52,0,51
0.05420827865600586,0,65,0,64
0.05354118347167969,0,79,0,77
0.05268383026123047,0,92,0,90
0.0526735782623291,0,104,0,103
0.05545330047607422,0,118,0,116
0.054874420166015625,0,131,0,130
0.052460432052612305,0,144,0,143
0.05041861534118652,0,157,0,155
0.053205251693725586,0,170,0,168
0.05327773094177246,0,-178,0,-179
0.052248239517211914,0,-165,0,-167
0.0520472526550293,0,-152,0,-154
0.051425933837890625,0,-139,0,-141
0.0515592098236084,0,-127,0,-129
0.05200767517089844,0,-114,0,-116
0.05253720283508301,0,-101,0,-103
0.05144238471984863,0,-88,0,-90
0.050611019134521484,0,-76,0,-78
0.050988197326660156,0,-63,0,-66
0.05155777931213379,0,-51,0,-53
0.052907705307006836,0,-37,0,-39
0.05062246322631836,0,-25,0,-27
0.050576210021972656,0,-13,0,-15
0.05051231384277344,0,0,0,-3
0.05182456970214844,0,12,0,10
0.0520319938659668,0,25,0,23
0.051638126373291016,0,38,0,35
0.05299687385559082,0,51,0,48
0.054113149642944336,0,64,0,61
0.05276298522949219,0,77,0,74
0.051711082458496094,0,90,0,87
0.053206443786621094,0,103,0,100
0.053255319595336914,0,116,0,113
0.0544736385345459,0,129,0,126
0.05221748352050781,0,142,0,139
0.053389787673950195,0,156,0,153
0.052115678787231445,0,168,0,165
0.054006338119506836,0,-180,0,178
0.05776643753051758,0,-165,0,-168
0.052037954330444336,0,-152,0,-155
0.052506446838378906,0,-139,0,-143
0.05275559425354004,0,-127,0,-131
0.05366325378417969,0,-113,0,-117
0.05115652084350586,0,-100,0,-104
0.05129528045654297,0,-88,0,-92
0.05271720886230469,0,-74,0,-79
0.050879716873168945,0,-62,0,-66
0.05103349685668945,0,-49,0,-53
0.05316162109375,0,-37,0,-41
0.05173993110656738,0,-24,0,-28
0.05082964897155762,0,-11,0,-15
0.05146670341491699,0,2,0,-3
0.05339646339416504,0,14,0,10
0.053794145584106445,0,28,0,23
0.05241250991821289,0,41,0,37
0.05306720733642578,0,54,0,49
0.9059972763061523,0,-83,0,-90
0.05277204513549805,0,-71,0,-77
0.05314445495605469,0,-57,0,-64
0.05231142044067383,0,-44,0,-51
0.05187678337097168,0,-32,0,-38
0.05284714698791504,0,-19,0,-26
0.05272388458251953,0,-6,0,-13
0.05189657211303711,0,7,0,0
0.051812171936035156,0,20,0,13
0.052846431732177734,0,33,0,26
0.05915570259094238,0,48,0,41
0.05060219764709473,0,60,0,53
0.05011415481567383,0,72,0,65
0.05092358589172363,0,85,0,77
0.053116559982299805,0,98,0,90
0.052144765853881836,0,111,0,103
0.05011272430419922,0,123,0,115
0.050801753997802734,0,136,0,128
0.050951242446899414,0,149,0,141
0.05111432075500488,0,161,0,153
0.05100417137145996,0,174,0,165
0.05145740509033203,0,-175,0,178
0.052405357360839844,0,-162,0,-170
0.05141472816467285,0,-149,0,-157
0.05020880699157715,0,-136,0,-145
0.05056476593017578,0,-124,0,-133
0.052252769470214844,0,-111,0,-121
0.054316043853759766,0,-98,0,-107
0.0512537956237793,0,-85,0,-94
0.05120038986206055,0,-73,0,-82
0.051326751708984375,0,-60,0,-69
0.0509035587310791,0,-47,0,-57
0.05260729789733887,0,-35,0,-44
0.052498817443847656,0,-22,0,-31
0.05415225028991699,0,-8,0,-18
0.05129551887512207,0,5,0,-5
0.05303621292114258,0,17,0,8
0.05385184288024902,0,31,0,21
0.05576133728027344,0,45,0,35
0.053754568099975586,0,58,0,48
0.0525970458984375,0,71,0,60
0.05052471160888672,0,84,0,73
0.051069021224975586,0,97,0,86
0.05222797393798828,0,109,0,98
0.053217172622680664,0,122,0,111
0.052484750747680664,0,135,0,124
0.05215287208557129,0,148,0,137
0.051753997802734375,0,161,0,150
0.05106043815612793,0,173,0,162
0.05316638946533203,0,-174,0,175
0.051929473876953125,0,-162,0,-173
0.05158424377441406,0,-149,0,-161
0.052288055419921875,0,-136,0,-148
0.05066323280334473,0,-123,0,-135
0.050705671310424805,0,-111,0,-123
0.05188131332397461,0,-98,0,-111
0.052692413330078125,0,-85,0,-98
0.05256795883178711,0,-72,0,-84
0.05208396911621094,0,-59,0,-72
0.05198240280151367,0,-46,0,-59
0.051679372787475586,0,-33,0,-46
0.05295562744140625,0,-21,0,-34
0.05195808410644531,0,-7,0,-20
0.05064201354980469,0,4,0,-9
0.05101585388183594,0,17,0,4
0.0525205135345459,0,30,0,17
0.05291867256164551,0,43,0,30
0.05279850959777832,0,56,0,42
0.05260181427001953,0,69,0,55
0.05353045463562012,0,83,0,69
0.05158209800720215,0,96,0,81
0.05123734474182129,0,108,0,94
0.05349540710449219,0,122,0,107
0.05202603340148926,0,134,0,120
0.05195760726928711,0,147,0,132
0.05109810829162598,0,160,0,145
0.05222344398498535,0,173,0,158
0.05171847343444824,0,-175,0,171
0.052680015563964844,0,-163,0,-178
0.05324196815490723,0,-149,0,-165
0.05046987533569336,0,-137,0,-152
0.049819231033325195,0,-124,0,-140
0.05168938636779785,0,-112,0,-128
0.05181479454040527,0,-99,0,-115
0.05151510238647461,0,-86,0,-102
0.052129507064819336,0,-73,0,-89
0.05236530303955078,0,-60,0,-77
0.053652048110961914,0,-47,0,-64
0.05266904830932617,0,-34,0,-50
0.05326414108276367,0,-21,0,-37
0.05175638198852539,0,-8,0,-25
0.05336403846740723,0,5,0,-12
0.05343008041381836,0,18,0,1
0.05275893211364746,0,31,0,14
1.0886833667755127,0,-60,0,-81
0.05274605751037598,0,-47,0,-68
0.052106618881225586,0,-34,0,-55
0.05310368537902832,0,-21,0,-43
0.055274248123168945,0,-8,0,-29
0.05609130859375,0,6,0,-15
0.053582191467285156,0,19,0,-2
0.0539250373840332,0,32,0,11
0.05253243446350098,0,46,0,24
0.05047130584716797,0,58,0,36
0.051772117614746094,0,71,0,49
0.052558183670043945,0,84,0,61
0.05054473876953125,0,97,0,74
0.050726890563964844,0,109,0,87
0.05236482620239258,0,122,0,99
0.050992727279663086,0,135,0,112
0.05119156837463379,0,148,0,125
0.05176353454589844,0,160,0,137
0.05174732208251953,0,173,0,150
0.05162453651428223,0,-175,0,162
0.0534515380859375,0,-162,0,176
0.05215191841125488,0,-149,0,-173
0.05117392539978027,0,-136,0,-160
0.05160117149353027,0,-124,0,-148
0.05153846740722656,0,-110,0,-135
0.05161285400390625,0,-97,0,-122
0.05193829536437988,0,-85,0,-110
0.051709890365600586,0,-72,0,-98
0.0503392219543457,0,-60,0,-85
0.05104398727416992,0,-47,0,-72
0.052362918853759766,0,-34,0,-60
0.05236172676086426,0,-21,0,-47
0.05132699012756348,0,-9,0,-35
0.05133175849914551,0,4,0,-21
0.05178642272949219,0,17,0,-9
0.052965641021728516,0,30,0,3
0.05164027214050293,0,43,0,17
0.05433154106140137,0,57,0,30
0.05163168907165527,0,70,0,42
0.05394697189331055,0,83,0,55
0.05118584632873535,0,96,0,68
0.05276012420654297,0,108,0,81
0.05138731002807617,0,121,0,93
0.05182623863220215,0,134,0,106
0.05075669288635254,0,147,0,119
0.0517580509185791,0,160,0,131
0.0507659912109375,0,172,0,144
0.0511629581451416,0,-176,0,156
0.05205082893371582,0,-164,0,169
0.05219268798828125,0,-150,0,-179
0.054067134857177734,0,-138,0,-167
0.05149269104003906,0,-125,0,-154
0.05118680000305176,0,-111,0,-141
0.05200362205505371,0,-98,0,-128
