delta,a_speed,a_position,b_speed,b_position
2.1457672119140625e-06,0,0,0,0
0.1827692985534668,0,0,0,0
0.05062437057495117,0,0,0,0
0.05001091957092285,0,2,0,2
0.0496983528137207,0,7,0,7
0.05043745040893555,0,13,0,14
0.050012826919555664,0,19,0,21
0.05053257942199707,0,25,0,28
0.050058603286743164,0,32,0,34
0.048558950424194336,0,38,0,41
0.048384666442871094,0,45,0,48
0.04946780204772949,0,52,0,55
0.04850029945373535,0,58,0,61
0.048580169677734375,0,65,0,68
0.04853343963623047,0,71,0,74
0.05460977554321289,0,79,0,82
0.04848027229309082,0,86,0,89
0.052194833755493164,0,93,0,96
0.04943537712097168,0,99,0,102
0.05086398124694824,0,106,0,110
0.048941612243652344,0,113,0,117
0.05111837387084961,0,120,0,124
0.04814267158508301,0,126,0,130
0.04808497428894043,0,133,0,136
0.050199031829833984,0,140,0,143
0.048913002014160156,0,147,0,150
0.04851222038269043,0,153,0,157
0.04829525947570801,0,160,0,163
0.047946929931640625,0,166,0,169
0.04840230941772461,0,172,0,176
0.04926347732543945,0,179,0,-178
0.048604726791381836,0,-175,0,-171
0.04832625389099121,0,-168,0,-165
0.04949498176574707,0,-162,0,-158
0.04904437065124512,0,-155,0,-152
0.0491330623626709,0,-149,0,-145
0.049542903900146484,0,-142,0,-138
0.049012184143066406,0,-135,0,-131
0.049411773681640625,0,-128,0,-124
0.049048423767089844,0,-122,0,-118
0.04963803291320801,0,-115,0,-111
0.05000019073486328,0,-108,0,-104
0.049808502197265625,0,-102,0,-97
0.050067901611328125,0,-95,0,-90
0.05232357978820801,0,-88,0,-83
0.049346208572387695,0,-81,0,-76
0.05558657646179199,0,-74,0,-69
0.05353116989135742,0,-66,0,-61
0.0533602237701416,0,-59,0,-54
0.05304098129272461,0,-52,0,-47
0.055166006088256836,0,-44,0,-39
0.051636695861816406,0,-37,0,-32
0.052564144134521484,0,-30,0,-25
0.052179813385009766,0,-23,0,-18
0.05099296569824219,0,-16,0,-11
0.052342891693115234,0,-9,0,-4
0.05343914031982422,0,-2,0,3
0.051320552825927734,0,5,0,11
0.05082249641418457,0,12,0,18
0.05032014846801758,0,19,0,25
0.04874134063720703,0,25,0,31
0.048980712890625,0,32,0,38
0.05002856254577637,0,39,0,46
