delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.430511474609375e-06,0,0,0,0,0,0
0.04618573188781738,0,0,0,0,0,0
0.0576019287109375,0,0,0,0,0,0
0.04925966262817383,0,1,1,0,1,1
0.05097365379333496,0,7,6,0,7,6
0.049826622009277344,0,14,7,0,14,7
0.051888465881347656,0,22,8,0,22,8
0.05285906791687012,0,31,9,0,30,8
0.05038571357727051,0,40,9,0,39,9
0.04968571662902832,0,48,8,0,47,8
0.049283504486083984,0,56,8,0,55,8
0.04996776580810547,0,65,9,0,63,8
0.04980111122131348,0,74,9,0,71,8
0.04998373985290527,0,82,8,0,80,9
0.050746917724609375,0,91,9,0,88,8
0.05652570724487305,0,100,9,0,97,9
0.057943105697631836,0,110,10,0,107,10
0.05548214912414551,0,120,10,0,116,9
0.056720733642578125,0,129,9,0,125,9
0.056005239486694336,0,139,10,0,135,10
0.05452585220336914,0,148,9,0,144,9
0.05407977104187012,0,158,10,0,153,9
0.0702216625213623,0,170,12,0,164,11
0.05464363098144531,0,179,9,0,173,9
0.05350327491760254,0,-173,6,0,-179,6
0.0571141242980957,0,-163,10,0,-169,10
0.05492377281188965,0,-154,9,0,-160,9
0.05573415756225586,0,-144,10,0,-151,9
0.055350542068481445,0,-135,9,0,-141,10
0.05521249771118164,0,-125,10,0,-132,9
0.05437469482421875,0,-116,9,0,-123,9
0.06828832626342773,0,-104,12,0,-112,11
0.0544888973236084,0,-95,9,0,-102,10
0.05283975601196289,0,-86,9,0,-94,8
0.05430436134338379,0,-76,10,0,-85,9
0.05321669578552246,0,-67,9,0,-76,9
0.05361628532409668,0,-58,9,0,-67,9
0.05563712120056152,0,-48,10,0,-58,9
0.053429603576660156,0,-39,9,0,-49,9
0.052529096603393555,0,-30,9,0,-40,9
0.05329704284667969,0,-21,9,0,-31,9
0.05301475524902344,0,-12,9,0,-22,9
0.05323290824890137,0,-3,9,0,-13,9
0.05449628829956055,0,6,3,0,-4,9
0.06180453300476074,0,17,11,0,6,2
0.05293631553649902,0,26,9,0,15,9
0.05421805381774902,0,36,10,0,24,9
0.05635666847229004,0,45,9,0,33,9
0.05417776107788086,0,55,10,0,43,10
0.05342459678649902,0,64,9,0,52,9
0.05453824996948242,0,74,10,0,61,9
0.05331063270568848,0,83,9,0,70,9
0.05515742301940918,0,92,9,0,79,9
0.0547182559967041,0,101,9,0,88,9
0.055434465408325195,0,111,10,0,97,9
0.056417226791381836,0,120,9,0,106,9
0.053812265396118164,0,130,10,0,115,9
0.05294966697692871,0,139,9,0,124,9
0.05299210548400879,0,148,9,0,133,9
0.05497884750366211,0,157,9,0,142,9
0.05292367935180664,0,166,9,0,151,9
0.05652308464050293,0,176,10,0,160,9
0.05449533462524414,0,-176,0,0,169,9
0.055171966552734375,0,-166,10,0,179,10
1.0565669536590576,0,15,151,0,-7,172
0.05581021308898926,0,25,10,0,2,5
0.05472850799560547,0,34,9,0,12,10
0.054900407791137695,0,44,10,0,21,9
0.05315899848937988,0,53,9,0,29,8
0.05383586883544922,0,62,9,0,38,9
0.05428290367126465,0,72,10,0,48,10
0.054398298263549805,0,81,9,0,56,8
0.05531954765319824,0,91,10,0,66,10
0.05578184127807617,0,100,9,0,75,9
0.05872154235839844,0,110,10,0,84,9
0.05540585517883301,0,120,10,0,94,10
0.05104255676269531,0,129,9,0,102,8
0.050692081451416016,0,137,8,0,111,9
0.049886226654052734,0,146,9,0,119,8
0.05025315284729004,0,155,9,0,127,8
0.04935812950134277,0,163,8,0,135,8
0.0496983528137207,0,172,9,0,144,9
0.05011773109436035,0,180,8,0,152,8
0.05034375190734863,0,-172,8,0,160,8
0.04949378967285156,0,-164,8,0,168,8
0.050008296966552734,0,-155,9,0,177,9
0.04946589469909668,0,-147,8,0,-176,1
0.05012345314025879,0,-138,9,0,-168,8
0.0526735782623291,0,-129,9,0,-159,9
0.04975128173828125,0,-120,9,0,-151,8
0.04935574531555176,0,-112,8,0,-143,8
0.04976487159729004,0,-103,9,0,-134,9
0.04954338073730469,0,-95,8,0,-126,8
0.0495295524597168,0,-86,9,0,-118,8
0.04945993423461914,0,-78,8,0,-110,8
0.05009126663208008,0,-69,9,0,-102,8
0.049779653549194336,0,-61,8,0,-93,9
0.05046367645263672,0,-52,9,0,-85,8
0.05006289482116699,0,-44,8,0,-77,8
0.050567626953125,0,-35,9,0,-68,9
0.05022239685058594,0,-26,9,0,-60,8
0.04981207847595215,0,-18,8,0,-52,8
0.05091500282287598,0,-9,9,0,-43,9
0.04963493347167969,0,-1,8,0,-35,8
0.04946589469909668,0,8,7,0,-27,8
0.04959726333618164,0,17,9,0,-19,8
0.050256967544555664,0,25,8,0,-10,9
0.05157613754272461,0,34,9,0,-2,8
0.05061697959899902,0,43,9,0,7,5
0.051642656326293945,0,52,9,0,15,8
0.05022454261779785,0,60,8,0,23,8
1.1925036907196045,0,-96,36,0,-140,117
0.050679683685302734,0,-87,9,0,-132,8
0.0535120964050293,0,-78,9,0,-123,9
0.050603628158569336,0,-69,9,0,-114,9
0.05164527893066406,0,-61,8,0,-106,8
0.05087780952453613,0,-52,9,0,-97,9
0.049465179443359375,0,-43,9,0,-89,8
0.04987049102783203,0,-35,8,0,-81,8
0.053388118743896484,0,-26,9,0,-72,9
0.05152130126953125,0,-17,9,0,-64,8
0.0518646240234375,0,-8,9,0,-55,9
0.05055832862854004,0,1,7,0,-47,8
0.050611257553100586,0,9,8,0,-38,9
0.050908565521240234,0,18,9,0,-30,8
0.050660133361816406,0,27,9,0,-21,9
0.04967021942138672,0,35,8,0,-13,8
0.0506901741027832,0,44,9,0,-5,8
0.05124258995056152,0,53,9,0,4,1
0.05072903633117676,0,61,8,0,12,8
0.05044722557067871,0,70,9,0,20,8
0.05131673812866211,0,79,9,0,29,9
0.05018472671508789,0,87,8,0,37,8
0.1008446216583252,0,105,18,0,54,17
0.051191091537475586,0,114,9,0,63,9
0.050150394439697266,0,122,8,0,71,8
0.05213189125061035,0,131,9,0,80,9
0.05159139633178711,0,140,9,0,88,8
0.05058145523071289,0,149,9,0,96,8
0.05037736892700195,0,157,8,0,105,9
0.05089521408081055,0,166,9,0,113,8
0.050473928451538086,0,175,9,0,122,9
0.05014777183532715,0,-178,3,0,130,8
0.050721168518066406,0,-169,9,0,138,8
0.05053830146789551,0,-160,9,0,147,9
0.051042795181274414,0,-152,8,0,155,8
0.05072903633117676,0,-143,9,0,164,9
0.05084633827209473,0,-134,9,0,172,8
0.05169963836669922,0,-125,9,0,-180,8
0.051038265228271484,0,-116,9,0,-172,8
0.05013871192932129,0,-108,8,0,-164,8
0.059540510177612305,0,-98,10,0,-154,10
0.08916139602661133,0,-82,16,0,-139,15
1.095216989517212,0,108,26,0,44,95
0.05642294883728027,0,117,9,0,54,10
0.05501556396484375,0,127,10,0,63,9
0.05659985542297363,0,137,10,0,72,9
0.05576968193054199,0,146,9,0,81,9
0.05454397201538086,0,155,9,0,91,10
0.05420494079589844,0,165,10,0,100,9
0.058878183364868164,0,175,10,0,109,9
0.055199623107910156,0,-177,2,0,119,10
0.05357003211975098,0,-167,10,0,128,9
0.05376076698303223,0,-158,9,0,136,8
0.054894447326660156,0,-149,9,0,145,9
0.05522918701171875,0,-139,10,0,155,10
