delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.430511474609375e-06,0,0,0,0,0,0
0.1320030689239502,0,0,0,0,0,0
0.05711722373962402,0,0,0,0,0,0
0.04933524131774902,0,1,1,0,1,1
0.04930591583251953,0,6,5,0,6,5
0.049263954162597656,0,12,6,0,12,6
0.04914283752441406,0,18,6,0,18,6
0.05090808868408203,0,26,8,0,25,7
0.04908466339111328,0,33,7,0,32,7
0.04951119422912598,0,40,7,0,39,7
0.05139756202697754,0,47,7,0,47,8
0.04996037483215332,0,54,7,0,54,7
0.05158376693725586,0,62,8,0,61,7
0.05049324035644531,0,69,7,0,68,7
0.05005168914794922,0,77,8,0,75,7
0.05188155174255371,0,85,8,0,83,8
0.050226688385009766,0,92,7,0,90,7
0.0509488582611084,0,100,8,0,97,7
0.05061650276184082,0,107,7,0,104,7
0.05088615417480469,0,115,8,0,112,8
0.04930925369262695,0,122,7,0,119,7
0.05065584182739258,0,129,7,0,126,7
0.05021977424621582,0,137,8,0,133,7
0.04994654655456543,0,144,7,0,140,7
0.04982304573059082,0,151,7,0,147,7
0.04948997497558594,0,159,8,0,154,7
0.04928469657897949,0,166,7,0,161,7
0.04949784278869629,0,173,7,0,168,7
0.05053353309631348,0,180,7,0,176,8
1.0923619270324707,0,-20,160,0,-29,147
0.05027508735656738,0,-13,7,0,-22,7
0.050228118896484375,0,-6,7,0,-15,7
0.04940605163574219,0,2,4,0,-8,7
0.05028057098388672,0,9,7,0,-1,7
0.049138784408569336,0,17,8,0,7,6
0.04966568946838379,0,24,7,0,14,7
0.04912090301513672,0,31,7,0,21,7
0.04921603202819824,0,38,7,0,28,7
0.04925799369812012,0,45,7,0,35,7
0.0499415397644043,0,52,7,0,42,7
0.05010533332824707,0,60,8,0,49,7
0.051099538803100586,0,67,7,0,56,7
0.049835920333862305,0,75,8,0,63,7
0.054360389709472656,0,83,8,0,71,8
0.05189394950866699,0,90,7,0,79,8
0.05045819282531738,0,98,8,0,86,7
0.05049538612365723,0,105,7,0,93,7
0.05062556266784668,0,113,8,0,100,7
0.050867319107055664,0,120,7,0,107,7
0.05788922309875488,0,129,9,0,116,9
0.05224323272705078,0,136,7,0,123,7
0.05034756660461426,0,144,8,0,130,7
0.0506892204284668,0,151,7,0,137,7
0.05093193054199219,0,158,7,0,145,8
0.05031228065490723,0,166,8,0,152,7
0.0507659912109375,0,173,7,0,159,7
0.05044221878051758,0,-180,7,0,167,8
0.049941062927246094,0,-173,7,0,173,6
0.050177574157714844,0,-166,7,0,-180,7
0.04993247985839844,0,-158,8,0,-173,7
0.05080580711364746,0,-151,7,0,-166,7
0.05082297325134277,0,-143,8,0,-158,8
0.05021929740905762,0,-136,7,0,-151,7
0.0500035285949707,0,-129,7,0,-144,7
0.050501108169555664,0,-121,8,0,-137,7
0.05205941200256348,0,-114,7,0,-129,8
0.05022406578063965,0,-107,7,0,-122,7
0.05225253105163574,0,-99,8,0,-115,7
0.05027055740356445,0,-92,7,0,-108,7
0.06508088111877441,0,-82,10,0,-98,10
0.05016040802001953,0,-74,8,0,-91,7
0.05154061317443848,0,-67,7,0,-84,7
0.0503697395324707,0,-60,7,0,-77,7
0.052115440368652344,0,-52,8,0,-69,8
0.05460381507873535,0,-44,8,0,-62,7
0.05549788475036621,0,-36,8,0,-54,8
0.05351662635803223,0,-28,8,0,-46,8
0.05292057991027832,0,-20,8,0,-38,8
0.05299878120422363,0,-12,8,0,-31,7
0.05295705795288086,0,-5,7,0,-23,8
0.053407907485961914,0,3,2,0,-15,8
0.05286526679992676,0,11,8,0,-8,7
