delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.6689300537109375e-06,0,0,0,0,0,0
0.19961929321289062,0,0,0,0,0,0
0.05700039863586426,0,0,0,0,0,0
0.05058765411376953,0,0,0,0,5,5
0.0498204231262207,0,5,5,0,12,7
0.04973292350769043,0,13,8,0,21,9
0.050621986389160156,0,22,9,0,30,9
0.05150127410888672,0,32,10,0,39,9
0.05038166046142578,0,41,9,0,48,9
0.04981255531311035,0,51,10,0,58,10
0.06038331985473633,0,63,12,0,69,11
0.0499570369720459,0,72,9,0,79,10
0.05048346519470215,0,82,10,0,88,9
0.05109572410583496,0,92,10,0,98,10
0.050110578536987305,0,102,10,0,107,9
0.04946327209472656,0,112,10,0,117,10
0.04962491989135742,0,122,10,0,126,9
0.0494844913482666,0,132,10,0,135,9
0.050342559814453125,0,142,10,0,145,10
0.05054783821105957,0,152,10,0,155,10
0.05061674118041992,0,162,10,0,164,9
0.050931453704833984,0,171,9,0,174,10
0.05131340026855469,0,-180,9,0,-178,4
0.05063343048095703,0,-169,11,0,-168,10
0.04998207092285156,0,-160,9,0,-158,10
0.051017045974731445,0,-150,10,0,-149,9
0.05104804039001465,0,-140,10,0,-139,10
0.051537513732910156,0,-129,11,0,-129,10
0.050472259521484375,0,-120,9,0,-120,9
0.05065560340881348,0,-110,10,0,-110,10
0.05071830749511719,0,-100,10,0,-100,10
0.04978156089782715,0,-90,10,0,-91,9
0.049645423889160156,0,-80,10,0,-81,10
0.05069541931152344,0,-70,10,0,-72,9
0.049205780029296875,0,-60,10,0,-62,10
0.049263715744018555,0,-50,10,0,-53,9
0.0503239631652832,0,-40,10,0,-43,10
0.05022311210632324,0,-31,9,0,-34,9
0.04952073097229004,0,-21,10,0,-25,9
0.052808284759521484,0,-10,11,0,-15,10
0.04938960075378418,0,-1,9,0,-5,10
0.04952073097229004,0,9,8,0,4,1
0.05074477195739746,0,19,10,0,13,9
0.05194211006164551,0,29,10,0,23,10
0.05025053024291992,0,39,10,0,33,10
1.093097448348999,0,-106,67,0,-120,87
0.05012059211730957,0,-96,10,0,-111,9
0.050254106521606445,0,-86,10,0,-101,10
0.04921293258666992,0,-77,9,0,-92,9
0.05026674270629883,0,-67,10,0,-82,10
0.05040693283081055,0,-57,10,0,-73,9
0.051783084869384766,0,-46,11,0,-63,10
0.05173444747924805,0,-36,10,0,-53,10
0.050792694091796875,0,-26,10,0,-43,10
0.04956936836242676,0,-16,10,0,-34,9
0.05153465270996094,0,-6,10,0,-24,10
0.05126476287841797,0,4,2,0,-15,9
0.05098986625671387,0,14,10,0,-5,10
0.05070900917053223,0,24,10,0,5,0
0.050601959228515625,0,34,10,0,14,9
0.04976844787597656,0,44,10,0,23,9
0.051215410232543945,0,54,10,0,33,10
0.04993891716003418,0,64,10,0,43,10
0.05016279220581055,0,74,10,0,52,9
0.05048537254333496,0,84,10,0,62,10
0.049988508224487305,0,93,9,0,71,9
0.05008053779602051,0,103,10,0,81,10
0.051850318908691406,0,114,11,0,91,10
0.0515897274017334,0,124,10,0,100,9
0.0548858642578125,0,135,11,0,111,11
0.05674481391906738,0,146,11,0,121,10
0.055416107177734375,0,157,11,0,132,11
0.058300018310546875,0,168,11,0,143,11
0.05566740036010742,0,179,11,0,154,11
0.055397987365722656,0,-171,8,0,164,10
0.056525230407714844,0,-160,11,0,175,11
0.055747270584106445,0,-149,11,0,-176,1
0.05277276039123535,0,-138,11,0,-165,11
0.07619595527648926,0,-123,15,0,-151,14
