delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.9073486328125e-06,0,0,0,0,0,0
0.13285303115844727,0,0,0,0,0,0
0.057808637619018555,0,0,0,0,0,0
0.04925870895385742,0,0,0,0,0,0
0.04897594451904297,0,0,0,0,0,0
0.0493619441986084,0,0,0,0,0,0
0.06426191329956055,0,1,1,0,1,1
0.056575775146484375,0,2,1,0,1,0
0.056464195251464844,0,3,1,0,2,1
0.05632352828979492,0,4,1,0,3,1
0.05653882026672363,0,5,1,0,3,0
0.056197166442871094,0,6,1,0,4,1
0.05710101127624512,0,7,1,0,5,1
0.05641579627990723,0,7,0,0,5,0
0.05677175521850586,0,8,1,0,6,1
0.06281018257141113,0,9,1,0,7,1
0.05817222595214844,0,10,1,0,7,0
0.05717897415161133,0,11,1,0,8,1
0.05792808532714844,0,12,1,0,9,1
0.05689859390258789,0,12,0,0,9,0
0.05721020698547363,0,13,1,0,10,1
0.05699586868286133,0,14,1,0,11,1
0.0576016902923584,0,15,1,0,11,0
0.056870222091674805,0,16,1,0,12,1
0.05751538276672363,0,17,1,0,13,1
0.05727124214172363,0,17,0,0,13,0
0.058588266372680664,0,18,1,0,14,1
0.05866813659667969,0,19,1,0,15,1
0.06341052055358887,0,20,1,0,16,1
0.059818267822265625,0,21,1,0,16,0
0.05797624588012695,0,22,1,0,17,1
0.06022286415100098,0,23,1,0,18,1
0.061263322830200195,0,24,1,0,18,0
0.06403517723083496,0,25,1,0,19,1
0.05826711654663086,0,25,0,0,20,1
0.058634281158447266,0,26,1,0,21,1
0.05892610549926758,0,27,1,0,21,0
0.05772542953491211,0,28,1,0,22,1
0.05668520927429199,0,29,1,0,22,0
0.05670738220214844,0,30,1,0,23,1
0.056510210037231445,0,30,0,0,23,0
0.10035395622253418,0,32,2,0,25,2
0.058489322662353516,0,33,1,0,25,0
0.056478261947631836,0,34,1,0,26,1
0.05646491050720215,0,35,1,0,27,1
0.07191085815429688,0,36,1,0,27,0
0.05711627006530762,0,37,1,0,28,1
0.05623292922973633,0,37,0,0,29,1
0.05614423751831055,0,38,1,0,29,0
0.05841565132141113,0,39,1,0,30,1
0.05718803405761719,0,40,1,0,31,1
0.061673879623413086,0,41,1,0,31,0
0.05733847618103027,0,42,1,0,32,1
