delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.430511474609375e-06,0,0,0,0,0,0
0.19215083122253418,0,0,0,0,0,0
0.0585782527923584,0,0,0,0,0,0
0.050568342208862305,0,1,1,0,1,1
0.059375762939453125,0,4,3,0,3,2
0.06258034706115723,0,7,3,0,6,3
0.0632936954498291,0,11,4,0,9,3
0.06308889389038086,0,14,3,0,12,3
0.05831551551818848,0,18,4,0,16,4
0.06055116653442383,0,21,3,0,19,3
0.06428933143615723,0,25,4,0,22,3
0.06320524215698242,0,29,4,0,25,3
0.06213212013244629,0,32,3,0,28,3
0.06046319007873535,0,36,4,0,32,4
0.0586550235748291,0,39,3,0,34,2
0.05724930763244629,0,43,4,0,38,4
0.05740857124328613,0,46,3,0,41,3
0.05746293067932129,0,49,3,0,44,3
0.05908393859863281,0,53,4,0,47,3
0.0604550838470459,0,57,4,0,50,3
0.059572458267211914,0,60,3,0,53,3
0.059180259704589844,0,64,4,0,56,3
0.07203269004821777,0,68,4,0,60,4
0.06348085403442383,0,72,4,0,63,3
0.06071639060974121,0,75,3,0,67,4
0.07064485549926758,0,79,4,0,70,3
0.05996131896972656,0,83,4,0,74,4
0.06197857856750488,0,86,3,0,77,3
0.059656620025634766,0,90,4,0,80,3
0.0600893497467041,0,93,3,0,83,3
0.05803561210632324,0,97,4,0,86,3
0.057537078857421875,0,100,3,0,89,3
0.06490135192871094,0,104,4,0,93,4
0.06175851821899414,0,107,3,0,96,3
0.060239553451538086,0,110,3,0,99,3
0.060503244400024414,0,114,4,0,102,3
0.06357526779174805,0,117,3,0,106,4
0.05763959884643555,0,120,3,0,109,3
0.17069530487060547,0,130,10,0,118,9
0.05802464485168457,0,134,4,0,121,3
0.058821678161621094,0,137,3,0,124,3
0.05682086944580078,0,140,3,0,127,3
0.06080961227416992,0,144,4,0,130,3
0.05978679656982422,0,147,3,0,133,3
0.060663461685180664,0,151,4,0,137,4
0.0595402717590332,0,154,3,0,140,3
0.05962038040161133,0,157,3,0,142,2
0.061035871505737305,0,161,4,0,146,4
0.05983686447143555,0,164,3,0,149,3
0.0594332218170166,0,168,4,0,152,3
0.06012773513793945,0,171,3,0,155,3
0.05945777893066406,0,174,3,0,158,3
0.060034990310668945,0,177,3,0,161,3
0.06759357452392578,0,-180,3,0,164,3
0.06276535987854004,0,-177,3,0,168,4
0.06023716926574707,0,-174,3,0,171,3
1.1213929653167725,0,-110,64,0,-132,39
0.04938077926635742,0,-107,3,0,-130,2
0.049741506576538086,0,-104,3,0,-127,3
0.04919290542602539,0,-102,2,0,-125,2
0.05009818077087402,0,-99,3,0,-122,3
0.05815887451171875,0,-96,3,0,-119,3
0.06070899963378906,0,-92,4,0,-116,3
0.05724644660949707,0,-89,3,0,-113,3
0.0578005313873291,0,-86,3,0,-110,3
0.0572969913482666,0,-83,3,0,-107,3
0.05833578109741211,0,-80,3,0,-104,3
0.057500362396240234,0,-76,4,0,-101,3
0.05680489540100098,0,-73,3,0,-98,3
0.05715036392211914,0,-70,3,0,-95,3
0.05854225158691406,0,-66,4,0,-92,3
0.05808115005493164,0,-63,3,0,-89,3
0.06009054183959961,0,-60,3,0,-85,4
0.061910390853881836,0,-57,3,0,-82,3
0.058344364166259766,0,-53,4,0,-79,3
0.06384015083312988,0,-50,3,0,-76,3
0.056066036224365234,0,-47,3,0,-73,3
0.05737590789794922,0,-43,4,0,-70,3
0.059632062911987305,0,-40,3,0,-67,3
0.05784344673156738,0,-36,4,0,-64,3
0.057619571685791016,0,-33,3,0,-60,4
0.05811262130737305,0,-30,3,0,-58,2
0.0593876838684082,0,-27,3,0,-54,4
0.06168699264526367,0,-23,4,0,-51,3
0.0604248046875,0,-20,3,0,-48,3
0.059797048568725586,0,-17,3,0,-45,3
0.0758514404296875,0,-12,5,0,-41,4
0.05808568000793457,0,-9,3,0,-38,3
0.05863308906555176,0,-6,3,0,-35,3
0.057370901107788086,0,-2,4,0,-31,4
0.05609846115112305,0,0,2,0,-29,2
0.05961036682128906,0,3,3,0,-26,3
0.05841970443725586,0,7,4,0,-22,4
0.05898714065551758,0,10,3,0,-20,2
0.05403900146484375,0,13,3,0,-17,3
0.0529024600982666,0,16,3,0,-14,3
0.052576303482055664,0,19,3,0,-12,2
0.05246710777282715,0,22,3,0,-9,3
0.054116010665893555,0,25,3,0,-6,3
0.053929805755615234,0,28,3,0,-3,3
0.05221080780029297,0,31,3,0,-1,2
0.054679155349731445,0,34,3,0,2,1
0.053948163986206055,0,37,3,0,5,3
0.05327963829040527,0,40,3,0,7,2
0.05324578285217285,0,43,3,0,10,3
0.059008121490478516,0,46,3,0,13,3
0.05626964569091797,0,50,4,0,16,3
0.05356574058532715,0,53,3,0,19,3
0.05414915084838867,0,56,3,0,22,3
0.05412459373474121,0,59,3,0,24,2
0.05463433265686035,0,62,3,0,27,3
0.05417132377624512,0,65,3,0,30,3
0.05375075340270996,0,68,3,0,33,3
0.05423545837402344,0,72,4,0,36,3
0.05403757095336914,0,75,3,0,39,3
0.05473160743713379,0,78,3,0,41,2
0.053815603256225586,0,81,3,0,44,3
0.0541079044342041,0,84,3,0,47,3
0.054897308349609375,0,87,3,0,50,3
0.05332636833190918,0,90,3,0,53,3
0.053671836853027344,0,93,3,0,55,2
