delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.1920928955078125e-06,0,0,0,0,0,0
0.20123887062072754,0,0,0,0,0,0
0.05794358253479004,0,0,0,0,0,0
0.0502016544342041,0,0,0,0,1,1
0.05187344551086426,0,2,2,0,2,1
0.05696988105773926,0,3,1,0,4,2
0.05646181106567383,0,5,2,0,6,2
0.057134389877319336,0,7,2,0,7,1
0.05731701850891113,0,9,2,0,9,2
0.05975151062011719,0,12,3,0,11,2
0.061237335205078125,0,14,2,0,13,2
0.056478023529052734,0,16,2,0,14,1
0.05722355842590332,0,18,2,0,16,2
0.05750155448913574,0,20,2,0,18,2
0.05683708190917969,0,22,2,0,19,1
0.059180259704589844,0,24,2,0,21,2
0.05791449546813965,0,26,2,0,23,2
0.056653499603271484,0,28,2,0,24,1
0.05887484550476074,0,30,2,0,26,2
0.0571436882019043,0,32,2,0,28,2
0.05605816841125488,0,34,2,0,29,1
0.057303428649902344,0,36,2,0,31,2
0.05885958671569824,0,38,2,0,33,2
0.059635162353515625,0,40,2,0,35,2
0.061612844467163086,0,42,2,0,36,1
0.057057857513427734,0,44,2,0,38,2
0.06441736221313477,0,46,2,0,40,2
0.05905556678771973,0,48,2,0,42,2
0.057906150817871094,0,50,2,0,43,1
0.05696535110473633,0,52,2,0,45,2
0.05673098564147949,0,54,2,0,47,2
0.058236122131347656,0,56,2,0,48,1
0.05718111991882324,0,58,2,0,50,2
0.05698871612548828,0,60,2,0,52,2
0.05854606628417969,0,62,2,0,54,2
0.055970191955566406,0,64,2,0,55,1
0.05648064613342285,0,66,2,0,57,2
0.058365821838378906,0,69,3,0,59,2
0.0593411922454834,0,70,1,0,60,1
0.05773615837097168,0,73,3,0,62,2
0.06000232696533203,0,75,2,0,64,2
0.05918574333190918,0,77,2,0,65,1
0.06585121154785156,0,79,2,0,67,2
0.05728626251220703,0,81,2,0,69,2
0.05745649337768555,0,83,2,0,71,2
0.059604644775390625,0,85,2,0,73,2
0.05571794509887695,0,87,2,0,74,1
0.05909466743469238,0,89,2,0,76,2
0.057134389877319336,0,91,2,0,78,2
0.05660390853881836,0,93,2,0,79,1
1.1130459308624268,0,131,38,0,112,33
0.06219792366027832,0,132,1,0,114,2
0.06056857109069824,0,134,2,0,115,1
0.060132503509521484,0,136,2,0,117,2
0.06128883361816406,0,138,2,0,119,2
0.0573885440826416,0,139,1,0,121,2
0.06071925163269043,0,141,2,0,123,2
0.056780099868774414,0,143,2,0,124,1
0.06159472465515137,0,145,2,0,126,2
0.06254124641418457,0,146,1,0,128,2
0.05980944633483887,0,148,2,0,130,2
0.06279683113098145,0,150,2,0,131,1
0.0546114444732666,0,152,2,0,133,2
0.056975603103637695,0,153,1,0,135,2
0.05997872352600098,0,155,2,0,136,1
0.05739140510559082,0,157,2,0,138,2
0.057375431060791016,0,159,2,0,140,2
0.062012672424316406,0,160,1,0,142,2
0.0541231632232666,0,162,2,0,143,1
0.054650306701660156,0,164,2,0,145,2
0.05536651611328125,0,165,1,0,146,1
0.05393695831298828,0,167,2,0,148,2
0.06153702735900879,0,169,2,0,150,2
0.05330228805541992,0,170,1,0,151,1
0.05680203437805176,0,172,2,0,153,2
0.0585024356842041,0,174,2,0,155,2
0.07428932189941406,0,176,2,0,157,2
0.05975651741027832,0,177,1,0,159,2
0.056409358978271484,0,179,2,0,160,1
0.061489105224609375,0,-180,1,0,162,2
0.06076788902282715,0,-179,1,0,164,2
0.058187007904052734,0,-177,2,0,166,2
0.057116031646728516,0,-175,2,0,167,1
0.06222701072692871,0,-173,2,0,169,2
0.06124424934387207,0,-171,2,0,171,2
0.059336185455322266,0,-170,1,0,173,2
0.06303119659423828,0,-168,2,0,175,2
0.060541629791259766,0,-166,2,0,176,1
0.05706477165222168,0,-164,2,0,178,2
0.057951927185058594,0,-162,2,0,180,2
0.06080293655395508,0,-161,1,0,-180,0
0.060451507568359375,0,-159,2,0,-178,2
0.05725455284118652,0,-157,2,0,-176,2
0.056609153747558594,0,-156,1,0,-175,1
0.05671429634094238,0,-154,2,0,-173,2
0.06205129623413086,0,-152,2,0,-171,2
0.06100606918334961,0,-150,2,0,-169,2
0.05937600135803223,0,-149,1,0,-167,2
0.05692458152770996,0,-147,2,0,-166,1
0.05919361114501953,0,-145,2,0,-164,2
0.05800008773803711,0,-144,1,0,-162,2
0.06175732612609863,0,-142,2,0,-160,2
0.06083273887634277,0,-140,2,0,-159,1
0.05623793601989746,0,-138,2,0,-157,2
0.05822277069091797,0,-137,1,0,-155,2
0.05727553367614746,0,-135,2,0,-154,1
0.05922555923461914,0,-133,2,0,-152,2
0.06236672401428223,0,-131,2,0,-150,2
0.06049919128417969,0,-130,1,0,-148,2
0.062374114990234375,0,-128,2,0,-146,2
0.05670475959777832,0,-126,2,0,-145,1
0.056084632873535156,0,-124,2,0,-143,2
0.269866943359375,0,-116,8,0,-135,8
0.056238651275634766,0,-115,1,0,-134,1
0.05421781539916992,0,-113,2,0,-132,2
0.05393505096435547,0,-112,1,0,-130,2
0.05563807487487793,0,-110,2,0,-129,1
0.05672907829284668,0,-108,2,0,-127,2
0.054796695709228516,0,-107,1,0,-125,2
0.05721712112426758,0,-105,2,0,-124,1
0.056819915771484375,0,-103,2,0,-122,2
0.06315112113952637,0,-101,2,0,-120,2
0.057538747787475586,0,-100,1,0,-119,1
0.058795928955078125,0,-98,2,0,-117,2
0.06181955337524414,0,-96,2,0,-115,2
0.060067176818847656,0,-95,1,0,-113,2
0.056967735290527344,0,-93,2,0,-112,1
0.06054353713989258,0,-91,2,0,-110,2
0.057253122329711914,0,-90,1,0,-108,2
0.05896782875061035,0,-88,2,0,-106,2
0.05616021156311035,0,-86,2,0,-105,1
0.057866811752319336,0,-85,1,0,-103,2
0.05956602096557617,0,-83,2,0,-101,2
0.05884432792663574,0,-81,2,0,-100,1
0.0604860782623291,0,-79,2,0,-98,2
0.062084197998046875,0,-77,2,0,-96,2
0.06385111808776855,0,-75,2,0,-94,2
0.06278538703918457,0,-74,1,0,-92,2
0.06701850891113281,0,-72,2,0,-90,2
0.0669107437133789,0,-70,2,0,-88,2
0.06384730339050293,0,-68,2,0,-86,2
0.06206011772155762,0,-66,2,0,-85,1
0.059496402740478516,0,-64,2,0,-83,2
0.06762027740478516,0,-62,2,0,-81,2
0.06299448013305664,0,-60,2,0,-79,2
0.06651186943054199,0,-59,1,0,-77,2
0.2803645133972168,0,-50,9,0,-69,8
0.06109166145324707,0,-49,1,0,-67,2
0.0606842041015625,0,-47,2,0,-65,2
0.05696511268615723,0,-45,2,0,-64,1
0.05440020561218262,0,-43,2,0,-62,2
0.05473518371582031,0,-42,1,0,-60,2
0.054189443588256836,0,-40,2,0,-59,1
1.3002827167510986,0,-2,38,0,-21,38
0.05536651611328125,0,0,2,0,-19,2
0.05620861053466797,0,1,1,0,-17,2
0.05476808547973633,0,3,2,0,-16,1
0.05543041229248047,0,4,1,0,-14,2
0.05585670471191406,0,6,2,0,-12,2
0.05402421951293945,0,8,2,0,-11,1
0.05409812927246094,0,9,1,0,-10,1
0.06330251693725586,0,11,2,0,-7,3
0.05839180946350098,0,13,2,0,-6,1
0.059046268463134766,0,15,2,0,-4,2
0.05898785591125488,0,16,1,0,-2,2
0.061365604400634766,0,18,2,0,-1,1
0.058495283126831055,0,20,2,0,1,0
0.06048989295959473,0,22,2,0,3,2
0.06186246871948242,0,23,1,0,5,2
0.0832982063293457,0,26,3,0,7,2
0.059975624084472656,0,28,2,0,9,2
0.06000185012817383,0,29,1,0,11,2
0.059961795806884766,0,31,2,0,13,2
0.058710336685180664,0,33,2,0,14,1
0.05712270736694336,0,35,2,0,16,2
0.05658555030822754,0,36,1,0,18,2
0.05974149703979492,0,38,2,0,19,1
0.0567471981048584,0,40,2,0,21,2
0.05753493309020996,0,41,1,0,23,2
0.0590367317199707,0,43,2,0,24,1
0.05814361572265625,0,45,2,0,26,2
0.056090593338012695,0,46,1,0,28,2
0.056139230728149414,0,48,2,0,29,1
0.056729793548583984,0,50,2,0,31,2
0.057289838790893555,0,51,1,0,33,2
0.05839729309082031,0,53,2,0,34,1
0.0584566593170166,0,55,2,0,36,2
0.05671834945678711,0,57,2,0,38,2
0.05719470977783203,0,58,1,0,39,1
0.05880260467529297,0,60,2,0,41,2
0.05750679969787598,0,62,2,0,43,2
0.05643010139465332,0,63,1,0,45,2
0.05616641044616699,0,65,2,0,46,1
0.07399773597717285,0,67,2,0,48,2
0.05622291564941406,0,69,2,0,50,2
0.057024240493774414,0,70,1,0,52,2
0.05646657943725586,0,72,2,0,53,1
0.05741429328918457,0,74,2,0,55,2
0.052843570709228516,0,75,1,0,57,2
0.054029226303100586,0,77,2,0,58,1
0.0535435676574707,0,79,2,0,60,2
0.053131103515625,0,80,1,0,61,1
0.056149959564208984,0,82,2,0,63,2
0.053693532943725586,0,83,1,0,65,2
0.05302572250366211,0,85,2,0,66,1
0.05341958999633789,0,86,1,0,68,2
0.05462288856506348,0,88,2,0,69,1
0.055654287338256836,0,90,2,0,71,2
0.05311727523803711,0,91,1,0,73,2
0.054314374923706055,0,93,2,0,74,1
0.05293393135070801,0,94,1,0,76,2
0.05945420265197754,0,96,2,0,77,1
0.05840277671813965,0,98,2,0,79,2
0.05839347839355469,0,99,1,0,81,2
0.06417727470397949,0,101,2,0,83,2
0.05932331085205078,0,103,2,0,84,1
0.058939218521118164,0,105,2,0,86,2
0.06028389930725098,0,107,2,0,88,2
0.06144881248474121,0,108,1,0,90,2
0.06397557258605957,0,110,2,0,92,2
0.05823230743408203,0,112,2,0,93,1
0.059899091720581055,0,114,2,0,95,2
0.06090950965881348,0,116,2,0,97,2
0.05738496780395508,0,117,1,0,99,2
0.057427167892456055,0,119,2,0,100,1
0.06463265419006348,0,121,2,0,102,2
0.05805063247680664,0,123,2,0,104,2
0.05903768539428711,0,124,1,0,106,2
0.061005353927612305,0,126,2,0,107,1
0.05958056449890137,0,128,2,0,109,2
0.06080770492553711,0,130,2,0,111,2
0.05973410606384277,0,131,1,0,113,2
0.05849909782409668,0,133,2,0,114,1
0.05910325050354004,0,135,2,0,116,2
0.05650448799133301,0,136,1,0,118,2
0.056980133056640625,0,138,2,0,119,1
0.06420612335205078,0,140,2,0,121,2
0.0629425048828125,0,142,2,0,123,2
0.05861783027648926,0,144,2,0,125,2
0.05768442153930664,0,145,1,0,127,2
0.05635499954223633,0,147,2,0,128,1
0.05785417556762695,0,149,2,0,130,2
0.057466745376586914,0,150,1,0,132,2
0.05723428726196289,0,152,2,0,133,1
0.05998396873474121,0,154,2,0,135,2
0.05602860450744629,0,155,1,0,137,2
0.05667591094970703,0,157,2,0,138,1
0.05582261085510254,0,159,2,0,140,2
0.05324220657348633,0,160,1,0,142,2
0.0543520450592041,0,162,2,0,143,1
0.05410408973693848,0,164,2,0,145,2
0.056670427322387695,0,165,1,0,146,1
0.056789398193359375,0,167,2,0,148,2
0.05764198303222656,0,169,2,0,150,2
0.05749011039733887,0,170,1,0,151,1
1.0955355167388916,0,-159,11,0,-177,26
0.05744457244873047,0,-157,2,0,-176,1
0.05672430992126465,0,-155,2,0,-174,2
0.056275367736816406,0,-154,1,0,-172,2
0.05959177017211914,0,-152,2,0,-171,1
0.05617499351501465,0,-150,2,0,-169,2
0.059473514556884766,0,-148,2,0,-167,2
0.057564496994018555,0,-147,1,0,-166,1
0.05739092826843262,0,-145,2,0,-164,2
0.056273460388183594,0,-143,2,0,-162,2
0.05707550048828125,0,-142,1,0,-161,1
0.05875253677368164,0,-140,2,0,-159,2
0.057537078857421875,0,-138,2,0,-157,2
0.0560457706451416,0,-137,1,0,-156,1
0.05867958068847656,0,-135,2,0,-154,2
0.0566716194152832,0,-133,2,0,-152,2
0.05268979072570801,0,-132,1,0,-151,1
0.05349302291870117,0,-130,2,0,-149,2
0.0560908317565918,0,-129,1,0,-147,2
0.05557870864868164,0,-127,2,0,-146,1
0.057584285736083984,0,-125,2,0,-144,2
0.056789398193359375,0,-124,1,0,-142,2
0.05759477615356445,0,-122,2,0,-141,1
0.05631875991821289,0,-120,2,0,-139,2
0.05889701843261719,0,-119,1,0,-137,2
0.055957794189453125,0,-117,2,0,-136,1
0.05543327331542969,0,-115,2,0,-134,2
0.0584874153137207,0,-113,2,0,-132,2
0.058351755142211914,0,-112,1,0,-131,1
0.05906224250793457,0,-110,2,0,-129,2
0.05783414840698242,0,-108,2,0,-127,2
0.0588991641998291,0,-107,1,0,-126,1
0.06010580062866211,0,-105,2,0,-124,2
0.05769968032836914,0,-103,2,0,-122,2
0.05664205551147461,0,-102,1,0,-120,2
0.05798029899597168,0,-100,2,0,-119,1
0.058035850524902344,0,-98,2,0,-117,2
0.056246042251586914,0,-97,1,0,-115,2
0.0574641227722168,0,-95,2,0,-113,2
0.06315112113952637,0,-93,2,0,-112,1
0.0592803955078125,0,-91,2,0,-110,2
0.05759453773498535,0,-90,1,0,-108,2
0.05616927146911621,0,-88,2,0,-107,1
0.056320905685424805,0,-86,2,0,-105,2
0.056845664978027344,0,-85,1,0,-103,2
0.05641460418701172,0,-83,2,0,-102,1
