delta,a_speed,a_position,delta_theta_a,d_speed,d_position,delta_theta_d
1.6689300537109375e-06,0,0,0,0,0,0
0.012101173400878906,0,0,0,0,0,0
1.1004018783569336,0,-147,147,0,-154,154
0.050765037536621094,0,-136,11,0,-143,11
0.05074357986450195,0,-124,12,0,-132,11
0.05045676231384277,0,-113,11,0,-122,10
0.052697181701660156,0,-102,11,0,-110,12
0.04973030090332031,0,-91,11,0,-100,10
0.04936933517456055,0,-80,11,0,-89,11
0.049547433853149414,0,-69,11,0,-79,10
0.05160665512084961,0,-57,12,0,-68,11
0.049823760986328125,0,-46,11,0,-57,11
0.0536801815032959,0,-35,11,0,-46,11
0.04997563362121582,0,-24,11,0,-35,11
0.050528526306152344,0,-12,12,0,-25,10
0.0496220588684082,0,-1,11,0,-14,11
0.04938387870788574,0,9,8,0,-3,11
0.05074477195739746,0,20,11,0,7,4
0.05607295036315918,0,33,13,0,19,12
0.0496678352355957,0,44,11,0,30,11
0.0537869930267334,0,55,11,0,41,11
0.05197453498840332,0,67,12,0,52,11
0.050240516662597656,0,78,11,0,63,11
0.0510106086730957,0,89,11,0,74,11
0.05209088325500488,0,100,11,0,85,11
0.050798654556274414,0,112,12,0,96,11
0.05090785026550293,0,123,11,0,107,11
0.050281524658203125,0,134,11,0,117,10
0.05143141746520996,0,145,11,0,128,11
0.05147433280944824,0,157,12,0,139,11
0.05014538764953613,0,168,11,0,150,11
0.05088019371032715,0,179,11,0,161,11
0.050504207611083984,0,-171,8,0,172,11
0.05027937889099121,0,-160,11,0,-179,7
0.05002307891845703,0,-149,11,0,-168,11
0.05115842819213867,0,-138,11,0,-157,11
0.05046844482421875,0,-126,12,0,-146,11
0.05026984214782715,0,-116,10,0,-136,10
0.05065417289733887,0,-104,12,0,-125,11
0.0505218505859375,0,-94,10,0,-114,11
0.05039191246032715,0,-82,12,0,-103,11
0.05143475532531738,0,-71,11,0,-92,11
0.05053567886352539,0,-60,11,0,-82,10
0.05018925666809082,0,-48,12,0,-71,11
