delta,a_speed,a_position,b_speed,b_position
4.76837158203125e-06,0,0,0,0
0.05769038200378418,0,0,0,0
0.050070762634277344,0,0,0,0
0.05007123947143555,0,2,0,2
0.05007791519165039,0,6,0,6
0.050077199935913086,0,10,0,11
0.05007433891296387,0,15,0,16
0.05008411407470703,0,19,0,20
0.05007481575012207,0,24,0,25
0.05007457733154297,0,28,0,29
0.050072669982910156,0,33,0,34
0.05007672309875488,0,37,0,38
0.05010199546813965,0,42,0,43
0.05009818077087402,0,46,0,48
0.05010247230529785,0,51,0,52
0.050192832946777344,0,55,0,57
0.05009317398071289,0,60,0,62
0.05010104179382324,0,65,0,67
0.05009603500366211,0,70,0,72
0.05008983612060547,0,74,0,76
0.05008840560913086,0,79,0,81
0.05008697509765625,0,84,0,86
0.050086021423339844,0,88,0,91
0.05008721351623535,0,93,0,95
0.05010175704956055,0,98,0,100
0.05022001266479492,0,102,0,104
0.05009937286376953,0,106,0,109
0.05009913444519043,0,111,0,113
0.05047011375427246,0,116,0,118
0.050099849700927734,0,120,0,122
0.05009150505065918,0,125,0,127
0.050090789794921875,0,129,0,132
0.050090789794921875,0,134,0,136
0.05009865760803223,0,140,0,142
0.05008745193481445,0,145,0,146
0.05008888244628906,0,150,0,152
0.05010056495666504,0,154,0,156
0.050095319747924805,0,161,0,163
0.050112247467041016,0,166,0,168
0.05009627342224121,0,171,0,173
0.050087928771972656,0,176,0,178
0.05009770393371582,0,180,0,-179
0.05009818077087402,0,-176,0,-174
0.05008697509765625,0,-171,0,-168
0.05008983612060547,0,-166,0,-164
0.050089120864868164,0,-161,0,-159
0.050087690353393555,0,-156,0,-154
0.05008721351623535,0,-151,0,-149
0.05008816719055176,0,-147,0,-145
0.05008697509765625,0,-142,0,-140
0.05008673667907715,0,-137,0,-135
0.05008959770202637,0,-133,0,-130
0.050096750259399414,0,-128,0,-125
0.05009126663208008,0,-123,0,-120
0.05009174346923828,0,-118,0,-115
0.050093650817871094,0,-113,0,-110
0.05008697509765625,0,-109,0,-105
0.05009961128234863,0,-104,0,-100
0.050089359283447266,0,-100,0,-96
0.05009770393371582,0,-95,0,-91
0.050095558166503906,0,-91,0,-86
0.05012845993041992,0,-86,0,-81
0.050193071365356445,0,-81,0,-77
0.050092458724975586,0,-76,0,-72
0.05008673667907715,0,-71,0,-67
0.05012965202331543,0,-67,0,-62
0.05008983612060547,0,-62,0,-58
0.0500946044921875,0,-58,0,-53
0.05008983612060547,0,-53,0,-48
0.05009579658508301,0,-49,0,-44
0.05009818077087402,0,-44,0,-39
0.05009126663208008,0,-39,0,-35
0.05017828941345215,0,-34,0,-30
0.05009627342224121,0,-30,0,-25
0.05009150505065918,0,-24,0,-20
0.05009293556213379,0,-20,0,-15
0.0500950813293457,0,-15,0,-10
0.050096750259399414,0,-11,0,-6
0.0500948429107666,0,-6,0,-1
0.05008339881896973,0,-1,0,3
0.05008673667907715,0,4,0,9
0.050089120864868164,0,9,0,13
0.050087690353393555,0,13,0,18
0.050100088119506836,0,18,0,22
0.05008530616760254,0,23,0,27
0.050092220306396484,0,27,0,32
0.050106048583984375,0,32,0,37
0.0500948429107666,0,37,0,42
0.05009174346923828,0,41,0,47
0.0500948429107666,0,46,0,51
0.050089359283447266,0,50,0,56
0.050093889236450195,0,55,0,61
0.05008745193481445,0,60,0,66
0.05013132095336914,0,65,0,71
0.0500948429107666,0,69,0,75
0.050089359283447266,0,74,0,81
0.05009293556213379,0,79,0,85
0.05009293556213379,0,83,0,90
0.050089359283447266,0,88,0,95
0.050100088119506836,0,92,0,100
0.050214529037475586,0,97,0,105
0.05008673667907715,0,102,0,109
0.05008554458618164,0,107,0,114
0.050089359283447266,0,111,0,118
0.050093889236450195,0,116,0,123
0.05009031295776367,0,120,0,127
0.05008983612060547,0,125,0,132
0.050092220306396484,0,130,0,137
0.05009651184082031,0,135,0,142
0.050096988677978516,0,139,0,146
0.05009794235229492,0,144,0,151
0.05010080337524414,0,149,0,156
0.05022311210632324,0,154,0,161
0.05008363723754883,0,159,0,166
0.05008888244628906,0,163,0,170
0.05010080337524414,0,168,0,175
0.05008530616760254,0,173,0,180
0.050098419189453125,0,177,0,-177
0.05009627342224121,0,-179,0,-172
