delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
1.6450881958007812e-05,-2.0093,-1.1597,-174.254,-0.0649,181.0913,76.196,0.7944,-1.77,-77.173
0.035333871841430664,-2.0093,-1.1597,-174.254,-0.0649,181.0913,76.196,0.7944,-1.77,-77.173
0.018833398818969727,-1.9619,1.6479,-175.754,-0.0664,109.2529,70.505,0.7285,-0.1831,-78.794
0.020596742630004883,-1.9619,1.6479,-175.754,-0.0664,109.2529,70.505,0.7285,-0.1831,-78.794
0.01950812339782715,-1.9077,0.3662,-175.71,-0.0479,-13.7939,69.939,0.6924,-1.77,-78.799
0.01891160011291504,-1.9077,0.3662,-175.71,-0.0479,-13.7939,69.939,0.6924,-1.77,-78.799
0.0183560848236084,-1.9077,0.3662,-175.71,-0.0479,-13.7939,69.939,0.6924,-1.77,-78.799
0.01817178726196289,-1.9316,-0.4883,-174.413,-0.0298,-92.2241,74.18,0.7109,-0.3662,-77.498
0.018961191177368164,-1.9316,-0.4883,-174.413,-0.0298,-92.2241,74.18,0.7109,-0.3662,-77.498
0.018171310424804688,-1.9316,-0.4883,-174.413,-0.0298,-92.2241,74.18,0.7109,-0.3662,-77.498
0.01825428009033203,-2.0352,-0.5493,-168.668,-0.0342,-182.9224,82.54,0.7749,1.0376,-71.686
0.01909804344177246,-2.0352,-0.5493,-168.668,-0.0342,-182.9224,82.54,0.7749,1.0376,-71.686
0.018935203552246094,-2.0845,-1.2817,-20.572,-0.0405,-220.7031,86.056,0.8442,1.4648,76.547
0.018294095993041992,-2.0845,-1.2817,-20.572,-0.0405,-220.7031,86.056,0.8442,1.4648,76.547
0.01812267303466797,-2.0845,-1.2817,-20.572,-0.0405,-220.7031,86.056,0.8442,1.4648,76.547
0.018494606018066406,-2.0962,-1.0986,-4.746,-0.0527,-232.0557,74.279,0.9673,1.8921,92.609
0.01964569091796875,-2.0962,-1.0986,-4.746,-0.0527,-232.0557,74.279,0.9673,1.8921,92.609
0.018242597579956055,-2.0962,-1.0986,-4.746,-0.0527,-232.0557,74.279,0.9673,1.8921,92.609
0.01820087432861328,-2.0449,0.4883,-2.752,-0.0532,-209.4727,63.276,1.0718,0.4883,94.845
0.026876211166381836,-2.0449,0.4883,-2.752,-0.0532,-209.4727,63.276,1.0718,0.4883,94.845
0.018435955047607422,-1.9355,0.5493,-2.104,-0.0386,-137.3291,54.987,1.1816,0.6104,95.68
0.01950669288635254,-1.9355,0.5493,-2.104,-0.0386,-137.3291,54.987,1.1816,0.6104,95.68
0.01929450035095215,-1.8584,0.1221,-1.868,-0.0308,-70.8008,50.383,1.2412,0.1831,96.092
0.01889967918395996,-1.8584,0.1221,-1.868,-0.0308,-70.8008,50.383,1.2412,0.1831,96.092
0.018120527267456055,-1.8584,0.1221,-1.868,-0.0308,-70.8008,50.383,1.2412,0.1831,96.092
0.017955303192138672,-1.8545,0.0,-1.879,-0.0352,37.3535,50.405,1.2632,0.1221,96.202
0.019143104553222656,-1.8545,0.0,-1.879,-0.0352,37.3535,50.405,1.2632,0.1221,96.202
0.019977807998657227,-1.8545,0.0,-1.879,-0.0352,37.3535,50.405,1.2632,0.1221,96.202
0.01861286163330078,-1.8984,0.1221,-2.071,-0.0449,99.7314,54.355,1.2363,-0.6104,96.059
0.018123865127563477,-1.8984,0.1221,-2.071,-0.0449,99.7314,54.355,1.2363,-0.6104,96.059
