delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
8.821487426757812e-06,-2.3872,-2.6245,-25.461,-0.0513,-487.6099,80.365,0.6631,3.2349,37.227
8.58306884765625e-06,-2.3872,-2.6245,-25.461,-0.0513,-487.6099,80.365,0.6631,3.2349,37.227
8.58306884765625e-06,-2.3872,-2.6245,-25.461,-0.0513,-487.6099,80.365,0.6631,3.2349,37.227
9.5367431640625e-06,-2.2314,-4.3335,-8.459,0.0,-407.6538,59.128,0.9365,-4.0894,56.508
8.821487426757812e-06,-2.2314,-4.3335,-8.459,0.0,-407.6538,59.128,0.9365,-4.0894,56.508
9.298324584960938e-06,-2.2314,-4.3335,-8.459,0.0,-407.6538,59.128,0.9365,-4.0894,56.508
1.0013580322265625e-05,-2.2314,-4.3335,-8.459,0.0,-407.6538,59.128,0.9365,-4.0894,56.508
8.58306884765625e-06,-2.2314,-4.3335,-8.459,0.0,-407.6538,59.128,0.9365,-4.0894,56.508
9.5367431640625e-06,-1.856,-2.7466,-5.812,-0.0122,-249.5728,43.995,1.1855,9.6436,60.996
9.059906005859375e-06,-1.856,-2.7466,-5.812,-0.0122,-249.5728,43.995,1.1855,9.6436,60.996
9.298324584960938e-06,-1.856,-2.7466,-5.812,-0.0122,-249.5728,43.995,1.1855,9.6436,60.996
1.0013580322265625e-05,-1.856,-2.7466,-5.812,-0.0122,-249.5728,43.995,1.1855,9.6436,60.996
1.5735626220703125e-05,-1.856,-2.7466,-5.812,-0.0122,-249.5728,43.995,1.1855,9.6436,60.996
9.059906005859375e-06,-1.5791,-8.728,-5.499,-0.0127,-109.2529,36.541,1.3452,4.2725,63.43
1.0251998901367188e-05,-1.5791,-8.728,-5.499,-0.0127,-109.2529,36.541,1.3452,4.2725,63.43
8.821487426757812e-06,-1.5791,-8.728,-5.499,-0.0127,-109.2529,36.541,1.3452,4.2725,63.43
8.344650268554688e-06,-1.5791,-8.728,-5.499,-0.0127,-109.2529,36.541,1.3452,4.2725,63.43
9.298324584960938e-06,-1.6543,0.9766,-5.927,-0.0425,115.0513,38.496,1.3774,0.3662,64.281
8.344650268554688e-06,-1.6543,0.9766,-5.927,-0.0425,115.0513,38.496,1.3774,0.3662,64.281
1.0013580322265625e-05,-1.6543,0.9766,-5.927,-0.0425,115.0513,38.496,1.3774,0.3662,64.281
1.0251998901367188e-05,-1.6543,0.9766,-5.927,-0.0425,115.0513,38.496,1.3774,0.3662,64.281
9.059906005859375e-06,-1.6543,0.9766,-5.927,-0.0425,115.0513,38.496,1.3774,0.3662,64.281
9.298324584960938e-06,-1.6543,0.9766,-5.927,-0.0425,115.0513,38.496,1.3774,0.3662,64.281
9.775161743164062e-06,-1.7549,-2.7466,-7.196,-0.0615,266.1133,49.246,1.2139,-1.2817,63.655
8.106231689453125e-06,-1.7549,-2.7466,-7.196,-0.0615,266.1133,49.246,1.2139,-1.2817,63.655
9.298324584960938e-06,-1.7549,-2.7466,-7.196,-0.0615,266.1133,49.246,1.2139,-1.2817,63.655
8.58306884765625e-06,-1.7549,-2.7466,-7.196,-0.0615,266.1133,49.246,1.2139,-1.2817,63.655
8.58306884765625e-06,-1.7549,-2.7466,-7.196,-0.0615,266.1133,49.246,1.2139,-1.2817,63.655
1.0251998901367188e-05,-2.1919,10.1318,-11.821,-0.0903,410.0342,66.907,0.7974,-6.958,58.733
8.344650268554688e-06,-2.1919,10.1318,-11.821,-0.0903,410.0342,66.907,0.7974,-6.958,58.733
8.106231689453125e-06,-2.1919,10.1318,-11.821,-0.0903,410.0342,66.907,0.7974,-6.958,58.733
8.106231689453125e-06,-2.1919,10.1318,-11.821,-0.0903,410.0342,66.907,0.7974,-6.958,58.733
9.059906005859375e-06,-2.1919,10.1318,-11.821,-0.0903,410.0342,66.907,0.7974,-6.958,58.733
0.0003871917724609375,-2.3838,2.5024,-67.747,-0.0835,434.5703,85.029,0.7383,-4.1504,2.598
9.775161743164062e-06,-2.3838,2.5024,-67.747,-0.0835,434.5703,85.029,0.7383,-4.1504,2.598
0.0003764629364013672,-2.3838,2.5024,-67.747,-0.0835,434.5703,85.029,0.7383,-4.1504,2.598
1.0728836059570312e-05,-2.3838,2.5024,-67.747,-0.0835,434.5703,85.029,0.7383,-4.1504,2.598
1.049041748046875e-05,-2.3838,2.5024,-67.747,-0.0835,434.5703,85.029,0.7383,-4.1504,2.598
0.0004200935363769531,-2.3145,10.437,-167.239,-0.0513,457.2144,69.483,0.498,-7.2632,-97.449
9.298324584960938e-06,-2.3145,10.437,-167.239,-0.0513,457.2144,69.483,0.498,-7.2632,-97.449
8.821487426757812e-06,-2.3145,10.437,-167.239,-0.0513,457.2144,69.483,0.498,-7.2632,-97.449
9.298324584960938e-06,-2.3145,10.437,-167.239,-0.0513,457.2144,69.483,0.498,-7.2632,-97.449
1.1920928955078125e-05,-2.3145,10.437,-167.239,-0.0513,457.2144,69.483,0.498,-7.2632,-97.449
9.059906005859375e-06,-2.0225,-7.2632,-172.65,-0.0083,379.2114,50.46,0.4033,-20.1416,-102.684
9.5367431640625e-06,-2.0225,-7.2632,-172.65,-0.0083,379.2114,50.46,0.4033,-20.1416,-102.684
8.344650268554688e-06,-2.0225,-7.2632,-172.65,-0.0083,379.2114,50.46,0.4033,-20.1416,-102.684
8.821487426757812e-06,-2.0225,-7.2632,-172.65,-0.0083,379.2114,50.46,0.4033,-20.1416,-102.684
1.0013580322265625e-05,-2.0225,-7.2632,-172.65,-0.0083,379.2114,50.46,0.4033,-20.1416,-102.684
9.298324584960938e-06,-1.7163,9.2773,-174.221,-0.0156,243.8965,37.238,0.3765,3.9062,-104.359
9.775161743164062e-06,-1.7163,9.2773,-174.221,-0.0156,243.8965,37.238,0.3765,3.9062,-104.359
8.106231689453125e-06,-1.7163,9.2773,-174.221,-0.0156,243.8965,37.238,0.3765,3.9062,-104.359
8.106231689453125e-06,-1.7163,9.2773,-174.221,-0.0156,243.8965,37.238,0.3765,3.9062,-104.359
9.775161743164062e-06,-1.7163,9.2773,-174.221,-0.0156,243.8965,37.238,0.3765,3.9062,-104.359
8.58306884765625e-06,-1.7163,9.2773,-174.221,-0.0156,243.8965,37.238,0.3765,3.9062,-104.359
1.0013580322265625e-05,-1.4268,-0.4272,-174.787,-0.019,117.3096,30.959,0.4663,-5.3101,-104.991
1.1205673217773438e-05,-1.4268,-0.4272,-174.787,-0.019,117.3096,30.959,0.4663,-5.3101,-104.991
9.5367431640625e-06,-1.4268,-0.4272,-174.787,-0.019,117.3096,30.959,0.4663,-5.3101,-104.991
9.5367431640625e-06,-1.4268,-0.4272,-174.787,-0.019,117.3096,30.959,0.4663,-5.3101,-104.991
9.059906005859375e-06,-1.4268,-0.4272,-174.787,-0.019,117.3096,30.959,0.4663,-5.3101,-104.991
1.0013580322265625e-05,-1.3516,-2.0752,-175.204,-0.0649,-100.0977,33.464,0.3745,2.5635,-104.37
1.0013580322265625e-05,-1.3516,-2.0752,-175.204,-0.0649,-100.0977,33.464,0.3745,2.5635,-104.37
1.049041748046875e-05,-1.3516,-2.0752,-175.204,-0.0649,-100.0977,33.464,0.3745,2.5635,-104.37
1.049041748046875e-05,-1.3516,-2.0752,-175.204,-0.0649,-100.0977,33.464,0.3745,2.5635,-104.37
1.0013580322265625e-05,-1.3516,-2.0752,-175.204,-0.0649,-100.0977,33.464,0.3745,2.5635,-104.37
9.298324584960938e-06,-1.3516,-2.0752,-175.204,-0.0649,-100.0977,33.464,0.3745,2.5635,-104.37
1.0728836059570312e-05,-1.623,5.188,-175.221,-0.0659,-219.4824,44.05,0.3936,15.3198,-103.909
8.821487426757812e-06,-1.623,5.188,-175.221,-0.0659,-219.4824,44.05,0.3936,15.3198,-103.909
1.0013580322265625e-05,-1.623,5.188,-175.221,-0.0659,-219.4824,44.05,0.3936,15.3198,-103.909
1.0013580322265625e-05,-1.623,5.188,-175.221,-0.0659,-219.4824,44.05,0.3936,15.3198,-103.909
1.049041748046875e-05,-1.623,5.188,-175.221,-0.0659,-219.4824,44.05,0.3936,15.3198,-103.909
1.0013580322265625e-05,-1.9424,-7.8735,-174.424,-0.0933,-352.5391,60.765,0.4331,2.0142,-101.739
1.0013580322265625e-05,-1.9424,-7.8735,-174.424,-0.0933,-352.5391,60.765,0.4331,2.0142,-101.739
9.5367431640625e-06,-1.9424,-7.8735,-174.424,-0.0933,-352.5391,60.765,0.4331,2.0142,-101.739
9.5367431640625e-06,-1.9424,-7.8735,-174.424,-0.0933,-352.5391,60.765,0.4331,2.0142,-101.739
9.775161743164062e-06,-1.9424,-7.8735,-174.424,-0.0933,-352.5391,60.765,0.4331,2.0142,-101.739
1.0013580322265625e-05,-2.2144,0.4272,-166.75,-0.0723,-396.1182,80.568,0.4932,6.4697,-92.428
1.0251998901367188e-05,-2.2144,0.4272,-166.75,-0.0723,-396.1182,80.568,0.4932,6.4697,-92.428
1.0251998901367188e-05,-2.2144,0.4272,-166.75,-0.0723,-396.1182,80.568,0.4932,6.4697,-92.428
9.5367431640625e-06,-2.2144,0.4272,-166.75,-0.0723,-396.1182,80.568,0.4932,6.4697,-92.428
9.775161743164062e-06,-2.2144,0.4272,-166.75,-0.0723,-396.1182,80.568,0.4932,6.4697,-92.428
9.5367431640625e-06,-2.2358,-6.3477,-8.943,-0.0322,-389.2822,78.805,0.6626,2.0752,67.154
8.106231689453125e-06,-2.2358,-6.3477,-8.943,-0.0322,-389.2822,78.805,0.6626,2.0752,67.154
1.3113021850585938e-05,-2.2358,-6.3477,-8.943,-0.0322,-389.2822,78.805,0.6626,2.0752,67.154
1.4781951904296875e-05,-2.2358,-6.3477,-8.943,-0.0322,-389.2822,78.805,0.6626,2.0752,67.154
9.775161743164062e-06,-2.188,3.1738,-3.433,-0.0107,-332.7637,61.188,0.8457,4.6997,74.564
1.049041748046875e-05,-2.188,3.1738,-3.433,-0.0107,-332.7637,61.188,0.8457,4.6997,74.564
1.049041748046875e-05,-2.188,3.1738,-3.433,-0.0107,-332.7637,61.188,0.8457,4.6997,74.564
1.0728836059570312e-05,-2.188,3.1738,-3.433,-0.0107,-332.7637,61.188,0.8457,4.6997,74.564
1.2874603271484375e-05,-1.9185,-8.1787,-2.812,0.0015,-200.6226,48.917,1.0454,4.1504,77.316
1.5974044799804688e-05,-1.9185,-8.1787,-2.812,0.0015,-200.6226,48.917,1.0454,4.1504,77.316
9.775161743164062e-06,-1.9185,-8.1787,-2.812,0.0015,-200.6226,48.917,1.0454,4.1504,77.316
1.0728836059570312e-05,-1.9185,-8.1787,-2.812,0.0015,-200.6226,48.917,1.0454,4.1504,77.316
1.0967254638671875e-05,-1.8213,-0.8545,-2.9,-0.0225,-26.4282,43.204,1.1475,3.418,79.266
1.0251998901367188e-05,-1.8213,-0.8545,-2.9,-0.0225,-26.4282,43.204,1.1475,3.418,79.266
9.775161743164062e-06,-1.8213,-0.8545,-2.9,-0.0225,-26.4282,43.204,1.1475,3.418,79.266
9.5367431640625e-06,-1.8213,-0.8545,-2.9,-0.0225,-26.4282,43.204,1.1475,3.418,79.266
1.0251998901367188e-05,-1.8213,-0.8545,-2.9,-0.0225,-26.4282,43.204,1.1475,3.418,79.266
1.049041748046875e-05,-1.8022,-4.5166,-3.433,-0.0566,96.8018,45.494,1.1958,-1.1597,80.436
1.049041748046875e-05,-1.8022,-4.5166,-3.433,-0.0566,96.8018,45.494,1.1958,-1.1597,80.436
1.049041748046875e-05,-1.8022,-4.5166,-3.433,-0.0566,96.8018,45.494,1.1958,-1.1597,80.436
9.298324584960938e-06,-1.8022,-4.5166,-3.433,-0.0566,96.8018,45.494,1.1958,-1.1597,80.436
1.0251998901367188e-05,-1.8022,-4.5166,-3.433,-0.0566,96.8018,45.494,1.1958,-1.1597,80.436
1.1205673217773438e-05,-2.0195,4.7607,-4.581,-0.0796,244.2627,54.586,0.9946,-4.9438,80.475
0.00037169456481933594,-2.0195,4.7607,-4.581,-0.0796,244.2627,54.586,0.9946,-4.9438,80.475
0.0003559589385986328,-2.0195,4.7607,-4.581,-0.0796,244.2627,54.586,0.9946,-4.9438,80.475
1.0251998901367188e-05,-2.0195,4.7607,-4.581,-0.0796,244.2627,54.586,0.9946,-4.9438,80.475
1.3113021850585938e-05,-2.1357,4.3335,-7.361,-0.0776,309.6313,68.395,0.9048,-3.7231,78.464
8.58306884765625e-06,-2.1357,4.3335,-7.361,-0.0776,309.6313,68.395,0.9048,-3.7231,78.464
1.0728836059570312e-05,-2.1357,4.3335,-7.361,-0.0776,309.6313,68.395,0.9048,-3.7231,78.464
1.0013580322265625e-05,-2.1357,4.3335,-7.361,-0.0776,309.6313,68.395,0.9048,-3.7231,78.464
9.775161743164062e-06,-2.1357,4.3335,-7.361,-0.0776,309.6313,68.395,0.9048,-3.7231,78.464
1.0967254638671875e-05,-2.2139,7.4463,-27.664,-0.0479,355.4688,84.512,0.6748,-3.9062,58.64
1.1444091796875e-05,-2.2139,7.4463,-27.664,-0.0479,355.4688,84.512,0.6748,-3.9062,58.64
9.775161743164062e-06,-2.2139,7.4463,-27.664,-0.0479,355.4688,84.512,0.6748,-3.9062,58.64
9.775161743164062e-06,-2.2139,7.4463,-27.664,-0.0479,355.4688,84.512,0.6748,-3.9062,58.64
1.049041748046875e-05,-2.127,1.5259,-167.503,-0.0244,332.8857,78.036,0.582,-8.7891,-80.563
1.0251998901367188e-05,-2.127,1.5259,-167.503,-0.0244,332.8857,78.036,0.582,-8.7891,-80.563
8.106231689453125e-06,-2.127,1.5259,-167.503,-0.0244,332.8857,78.036,0.582,-8.7891,-80.563
1.049041748046875e-05,-2.127,1.5259,-167.503,-0.0244,332.8857,78.036,0.582,-8.7891,-80.563
1.049041748046875e-05,-2.127,1.5259,-167.503,-0.0244,332.8857,78.036,0.582,-8.7891,-80.563
1.0251998901367188e-05,-1.873,-1.709,-174.089,-0.0254,240.0513,64.501,0.498,-6.1646,-86.298
0.00043702125549316406,-1.873,-1.709,-174.089,-0.0254,240.0513,64.501,0.498,-6.1646,-86.298
8.344650268554688e-06,-1.873,-1.709,-174.089,-0.0254,240.0513,64.501,0.498,-6.1646,-86.298
7.867813110351562e-06,-1.873,-1.709,-174.089,-0.0254,240.0513,64.501,0.498,-6.1646,-86.298
1.0251998901367188e-05,-1.7178,4.0894,-175.886,-0.0229,147.0337,56.212,0.498,-1.2817,-87.341
8.58306884765625e-06,-1.7178,4.0894,-175.886,-0.0229,147.0337,56.212,0.498,-1.2817,-87.341
1.0251998901367188e-05,-1.7178,4.0894,-175.886,-0.0229,147.0337,56.212,0.498,-1.2817,-87.341
1.049041748046875e-05,-1.7178,4.0894,-175.886,-0.0229,147.0337,56.212,0.498,-1.2817,-87.341
7.867813110351562e-06,-1.7178,4.0894,-175.886,-0.0229,147.0337,56.212,0.498,-1.2817,-87.341
9.5367431640625e-06,-1.5664,-1.8921,-176.792,-0.0537,-13.0615,54.24,0.4297,0.061,-87.396
8.58306884765625e-06,-1.5664,-1.8921,-176.792,-0.0537,-13.0615,54.24,0.4297,0.061,-87.396
8.58306884765625e-06,-1.5664,-1.8921,-176.792,-0.0537,-13.0615,54.24,0.4297,0.061,-87.396
8.58306884765625e-06,-1.5664,-1.8921,-176.792,-0.0537,-13.0615,54.24,0.4297,0.061,-87.396
9.5367431640625e-06,-1.5664,-1.8921,-176.792,-0.0537,-13.0615,54.24,0.4297,0.061,-87.396
8.821487426757812e-06,-1.3228,2.0142,-177.391,-0.0327,-116.9434,58.942,0.7031,5.6763,-87.028
8.821487426757812e-06,-1.3228,2.0142,-177.391,-0.0327,-116.9434,58.942,0.7031,5.6763,-87.028
8.821487426757812e-06,-1.3228,2.0142,-177.391,-0.0327,-116.9434,58.942,0.7031,5.6763,-87.028
9.298324584960938e-06,-1.3228,2.0142,-177.391,-0.0327,-116.9434,58.942,0.7031,5.6763,-87.028
9.059906005859375e-06,-1.8696,-4.9438,-177.973,-0.085,-235.2295,69.203,0.4727,2.4414,-86.473
8.344650268554688e-06,-1.8696,-4.9438,-177.973,-0.085,-235.2295,69.203,0.4727,2.4414,-86.473
9.298324584960938e-06,-1.8696,-4.9438,-177.973,-0.085,-235.2295,69.203,0.4727,2.4414,-86.473
8.821487426757812e-06,-1.8696,-4.9438,-177.973,-0.085,-235.2295,69.203,0.4727,2.4414,-86.473
8.58306884765625e-06,-1.8696,-4.9438,-177.973,-0.085,-235.2295,69.203,0.4727,2.4414,-86.473
8.821487426757812e-06,-2.02,0.9155,-177.363,-0.0737,-286.3159,83.139,0.5142,2.5024,-84.518
8.344650268554688e-06,-2.02,0.9155,-177.363,-0.0737,-286.3159,83.139,0.5142,2.5024,-84.518
8.344650268554688e-06,-2.02,0.9155,-177.363,-0.0737,-286.3159,83.139,0.5142,2.5024,-84.518
8.821487426757812e-06,-2.02,0.9155,-177.363,-0.0737,-286.3159,83.139,0.5142,2.5024,-84.518
8.821487426757812e-06,-2.02,0.9155,-177.363,-0.0737,-286.3159,83.139,0.5142,2.5024,-84.518
8.106231689453125e-06,-2.02,0.9155,-177.363,-0.0737,-286.3159,83.139,0.5142,2.5024,-84.518
9.059906005859375e-06,-2.1055,-3.1128,0.203,-0.0405,-297.0581,81.584,0.6235,3.7842,94.411
8.821487426757812e-06,-2.1055,-3.1128,0.203,-0.0405,-297.0581,81.584,0.6235,3.7842,94.411
9.298324584960938e-06,-2.1055,-3.1128,0.203,-0.0405,-297.0581,81.584,0.6235,3.7842,94.411
9.059906005859375e-06,-2.1055,-3.1128,0.203,-0.0405,-297.0581,81.584,0.6235,3.7842,94.411
9.298324584960938e-06,-2.0981,-1.2817,0.187,-0.0039,-261.9629,67.522,0.7612,1.709,96.026
8.58306884765625e-06,-2.0981,-1.2817,0.187,-0.0039,-261.9629,67.522,0.7612,1.709,96.026
9.298324584960938e-06,-2.0981,-1.2817,0.187,-0.0039,-261.9629,67.522,0.7612,1.709,96.026
8.58306884765625e-06,-2.0981,-1.2817,0.187,-0.0039,-261.9629,67.522,0.7612,1.709,96.026
9.059906005859375e-06,-2.0981,-1.2817,0.187,-0.0039,-261.9629,67.522,0.7612,1.709,96.026
7.62939453125e-06,-2.0015,-4.1504,0.165,-0.0239,-169.1284,56.871,0.9253,3.1128,97.476
9.059906005859375e-06,-2.0015,-4.1504,0.165,-0.0239,-169.1284,56.871,0.9253,3.1128,97.476
9.5367431640625e-06,-2.0015,-4.1504,0.165,-0.0239,-169.1284,56.871,0.9253,3.1128,97.476
8.58306884765625e-06,-2.0015,-4.1504,0.165,-0.0239,-169.1284,56.871,0.9253,3.1128,97.476
7.867813110351562e-06,-2.0015,-4.1504,0.165,-0.0239,-169.1284,56.871,0.9253,3.1128,97.476
