delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
2.3603439331054688e-05,-1.8467,-9.0332,-2.247,-0.0776,397.8271,59.727,1.2139,5.188,-62.792
0.010105371475219727,-1.8467,-9.0332,-2.247,-0.0776,397.8271,59.727,1.2139,5.188,-62.792
0.010116338729858398,-2.4834,5.0049,-10.162,-0.0464,513.4277,82.2,0.7144,-5.0659,-70.296
0.010103464126586914,-2.4834,5.0049,-10.162,-0.0464,513.4277,82.2,0.7144,-5.0659,-70.296
0.01011204719543457,-2.4834,5.0049,-10.162,-0.0464,513.4277,82.2,0.7144,-5.0659,-70.296
0.01011204719543457,-2.5376,20.3247,-173.694,-0.127,526.2451,72.664,0.6646,-7.8735,124.958
0.010109663009643555,-2.5376,20.3247,-173.694,-0.127,526.2451,72.664,0.6646,-7.8735,124.958
0.010115623474121094,-2.4092,1.6479,-176.759,-0.0757,520.9961,47.208,0.3218,-4.8828,121.108
0.010092973709106445,-2.4092,1.6479,-176.759,-0.0757,520.9961,47.208,0.3218,-4.8828,121.108
0.010101556777954102,-2.4092,1.6479,-176.759,-0.0757,520.9961,47.208,0.3218,-4.8828,121.108
0.010092735290527344,-1.9673,14.3433,-176.726,-0.0527,413.208,25.906,0.4683,-14.0381,120.212
0.010094404220581055,-1.9673,14.3433,-176.726,-0.0527,413.208,25.906,0.4683,-14.0381,120.212
0.010097742080688477,-1.5732,-4.4556,-176.105,-0.0127,247.1313,11.338,0.3447,-5.9814,119.438
0.010089635848999023,-1.5732,-4.4556,-176.105,-0.0127,247.1313,11.338,0.3447,-5.9814,119.438
0.010088920593261719,-1.5732,-4.4556,-176.105,-0.0127,247.1313,11.338,0.3447,-5.9814,119.438
0.010094642639160156,-1.1846,-1.3428,-175.941,-0.0166,111.9385,4.927,0.4409,-2.5024,118.784
0.010101795196533203,-1.1846,-1.3428,-175.941,-0.0166,111.9385,4.927,0.4409,-2.5024,118.784
0.010092020034790039,-1.1089,-0.7324,-175.336,-0.0557,-136.9019,8.212,0.4111,3.0518,118.735
0.010102510452270508,-1.1089,-0.7324,-175.336,-0.0557,-136.9019,8.212,0.4111,3.0518,118.735
0.010099172592163086,-1.1089,-0.7324,-175.336,-0.0557,-136.9019,8.212,0.4111,3.0518,118.735
0.010097980499267578,-1.5322,-5.3711,-174.99,-0.0752,-277.5879,21.11,0.3623,11.1694,119.092
0.010094642639160156,-1.5322,-5.3711,-174.99,-0.0752,-277.5879,21.11,0.3623,11.1694,119.092
0.01009678840637207,-2.0361,-2.6855,-174.293,-0.0938,-413.8794,40.693,0.3779,6.958,120.443
0.010097742080688477,-2.0361,-2.6855,-174.293,-0.0938,-413.8794,40.693,0.3779,6.958,120.443
0.010105609893798828,-2.2324,-12.6343,-171.464,-0.0771,-470.6421,64.177,0.4258,4.4556,124.799
0.01009678840637207,-2.2324,-12.6343,-171.464,-0.0771,-470.6421,64.177,0.4258,4.4556,124.799
0.01009511947631836,-2.2324,-12.6343,-171.464,-0.0771,-470.6421,64.177,0.4258,4.4556,124.799
0.01008749008178711,-2.3398,-1.77,-114.423,-0.0425,-456.9092,86.633,0.6274,4.3945,-176.407
0.010103225708007812,-2.3398,-1.77,-114.423,-0.0425,-456.9092,86.633,0.6274,4.3945,-176.407
0.010099411010742188,-2.3398,-1.77,-114.423,-0.0425,-456.9092,86.633,0.6274,4.3945,-176.407
0.010091543197631836,-2.29,-6.1035,-8.564,-0.0034,-396.4233,69.906,0.8735,1.2207,-68.626
0.010091304779052734,-2.29,-6.1035,-8.564,-0.0034,-396.4233,69.906,0.8735,1.2207,-68.626
0.010097980499267578,-1.9111,1.4038,-4.807,-0.002,-252.0752,54.805,1.0884,7.5684,-63.248
0.010133743286132812,-1.9111,1.4038,-4.807,-0.002,-252.0752,54.805,1.0884,7.5684,-63.248
0.010084867477416992,-1.9111,1.4038,-4.807,-0.002,-252.0752,54.805,1.0884,7.5684,-63.248
0.010098934173583984,-1.7373,-9.5825,-4.186,-0.0234,-120.6055,46.648,1.2349,3.8452,-60.831
0.010098934173583984,-1.7373,-9.5825,-4.186,-0.0234,-120.6055,46.648,1.2349,3.8452,-60.831
0.010091066360473633,-1.6577,0.9766,-4.422,-0.0571,91.1865,47.329,1.3164,0.9766,-59.788
0.010098934173583984,-1.6577,0.9766,-4.422,-0.0571,91.1865,47.329,1.3164,0.9766,-59.788
0.01008749008178711,-1.6577,0.9766,-4.422,-0.0571,91.1865,47.329,1.3164,0.9766,-59.788
0.010093927383422852,-1.8706,2.1362,-5.488,-0.0708,221.9238,56.03,1.1831,-4.2725,-60.062
0.010722875595092773,-1.8706,2.1362,-5.488,-0.0708,221.9238,56.03,1.1831,-4.2725,-60.062
0.010100364685058594,-1.8706,2.1362,-5.488,-0.0708,221.9238,56.03,1.1831,-4.2725,-60.062
0.010100603103637695,-2.1274,4.2725,-9.855,-0.0659,361.5112,71.356,0.9019,-4.8218,-64.094
0.010099649429321289,-2.1274,4.2725,-9.855,-0.0659,361.5112,71.356,0.9019,-4.8218,-64.094
0.010098695755004883,-2.3271,10.5591,-93.505,-0.0703,395.2637,86.946,0.7544,-3.54,-147.761
0.010100126266479492,-2.3271,10.5591,-93.505,-0.0703,395.2637,86.946,0.7544,-3.54,-147.761
0.010101318359375,-2.2314,4.2725,-170.782,-0.0322,412.2314,69.862,0.561,-9.2163,135.049
0.010100841522216797,-2.2314,4.2725,-170.782,-0.0322,412.2314,69.862,0.561,-9.2163,135.049
0.010098695755004883,-2.042,3.6011,-174.551,-0.0205,347.229,52.63,0.4434,-9.2773,131.391
0.010091543197631836,-2.042,3.6011,-174.551,-0.0205,347.229,52.63,0.4434,-9.2773,131.391
0.010098695755004883,-2.042,3.6011,-174.551,-0.0205,347.229,52.63,0.4434,-9.2773,131.391
0.010102272033691406,-1.7466,3.0518,-175.737,-0.0215,217.4072,40.82,0.4443,-2.7466,130.309
0.010095834732055664,-1.7466,3.0518,-175.737,-0.0215,217.4072,40.82,0.4443,-2.7466,130.309
0.010095357894897461,-1.7466,3.0518,-175.737,-0.0215,217.4072,40.82,0.4443,-2.7466,130.309
0.010090827941894531,-1.5225,2.5024,-176.314,-0.0288,101.5625,35.349,0.4258,-0.061,130.023
0.01009821891784668,-1.5225,2.5024,-176.314,-0.0288,101.5625,35.349,0.4258,-0.061,130.023
0.010088443756103516,-1.4717,-3.0518,-176.682,-0.0693,-90.1489,37.897,0.3809,1.2207,130.215
0.01009678840637207,-1.4717,-3.0518,-176.682,-0.0693,-90.1489,37.897,0.3809,1.2207,130.215
0.010099172592163086,-1.4717,-3.0518,-176.682,-0.0693,-90.1489,37.897,0.3809,1.2207,130.215
0.01009511947631836,-1.687,-5.4321,-177.001,-0.0859,-197.998,47.505,0.4253,2.5635,131.023
0.010088920593261719,-1.687,-5.4321,-177.001,-0.0859,-197.998,47.505,0.4253,2.5635,131.023
