delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
2.0503997802734375e-05,-1.6914,-0.3662,108.303,0.0928,4.1504,170.75,0.2856,-0.1221,78.86
0.13353204727172852,-1.6938,-0.061,108.232,0.106,-1.3428,170.739,0.2861,-0.3662,78.887
0.020731687545776367,-1.6938,-0.061,108.232,0.106,-1.3428,170.739,0.2861,-0.3662,78.887
0.02601146697998047,-1.6875,0.1221,108.21,0.0908,2.0752,170.717,0.2847,0.1831,78.876
0.01946258544921875,-1.6875,0.1221,108.21,0.0908,2.0752,170.717,0.2847,0.1831,78.876
0.018710851669311523,-1.6953,0.061,108.177,0.0869,0.6714,170.695,0.2832,0.0,78.86
0.020883798599243164,-1.6953,0.061,108.177,0.0869,0.6714,170.695,0.2832,0.0,78.86
0.02705836296081543,-1.6924,0.0,108.1,0.1011,-1.3428,170.662,0.2842,0.0,78.788
0.022145509719848633,-1.6924,0.0,108.1,0.1011,-1.3428,170.662,0.2842,0.0,78.788
0.018336772918701172,-1.6924,0.0,108.1,0.1011,-1.3428,170.662,0.2842,0.0,78.788
0.019145727157592773,-1.6948,-0.2441,108.029,0.1074,3.2349,170.623,0.2808,0.0,78.734
0.018468379974365234,-1.6948,-0.2441,108.029,0.1074,3.2349,170.623,0.2808,0.0,78.734
0.03378772735595703,-1.7012,-0.4272,108.029,0.0913,-0.061,170.667,0.2842,-0.2441,78.772
0.018743038177490234,-1.7012,-0.4272,108.029,0.0913,-0.061,170.667,0.2842,-0.2441,78.772
0.020339012145996094,-1.689,0.1221,108.012,0.0903,2.1973,170.645,0.2798,0.061,78.777
0.026010513305664062,-1.689,0.1221,108.012,0.0903,2.1973,170.645,0.2798,0.061,78.777
0.01906585693359375,-1.6973,-0.2441,107.787,0.0957,-0.4883,170.59,0.2832,0.061,78.569
0.022846221923828125,-1.6973,-0.2441,107.787,0.0957,-0.4883,170.59,0.2832,0.061,78.569
0.029891490936279297,-1.7661,-0.3662,107.056,0.04,-10.5591,170.365,0.3555,-0.2441,77.86
0.02259540557861328,-1.7661,-0.3662,107.056,0.04,-10.5591,170.365,0.3555,-0.2441,77.86
0.028136730194091797,-2.4565,9.2773,98.042,0.0708,-222.9004,166.492,0.7554,2.5024,69.022
0.02484607696533203,-2.4565,9.2773,98.042,0.0708,-222.9004,166.492,0.7554,2.5024,69.022
