delta,Rx_acc,Rx_velocity,Rx_degrees,Ry_acc,Ry_velocity,Rr_degrees,Rz_acc,Rz_velocity,Rz_degrees
1.9550323486328125e-05,-2.0059,-0.061,1.225,0.0103,264.3433,67.835,0.6855,-2.7466,-74.784
0.010090112686157227,-1.8901,11.5967,2.142,-0.0005,168.7622,78.574,0.5747,-0.7324,-74.273
0.010096073150634766,-1.8901,11.5967,2.142,-0.0005,168.7622,78.574,0.5747,-0.7324,-74.273
0.010078191757202148,-1.7158,-0.8545,2.439,0.0015,-9.3994,82.266,0.5371,-3.2959,-74.174
0.010078191757202148,-1.7158,-0.8545,2.439,0.0015,-9.3994,82.266,0.5371,-3.2959,-74.174
0.010085821151733398,-1.7158,-0.8545,2.439,0.0015,-9.3994,82.266,0.5371,-3.2959,-74.174
0.010084390640258789,-1.7842,-2.8076,1.533,0.019,-130.127,78.382,0.5854,2.6855,-75.168
0.010091543197631836,-1.7842,-2.8076,1.533,0.019,-130.127,78.382,0.5854,2.6855,-75.168
0.010082244873046875,-2.0376,-5.0049,1.0,0.0151,-267.0288,68.148,0.6582,2.7466,-75.602
0.010071754455566406,-2.0376,-5.0049,1.0,0.0151,-267.0288,68.148,0.6582,2.7466,-75.602
0.010070562362670898,-2.1699,-7.6294,0.621,0.0181,-325.9888,53.575,0.7217,3.0518,-75.839
0.010089635848999023,-2.1699,-7.6294,0.621,0.0181,-325.9888,53.575,0.7217,3.0518,-75.839
0.010080099105834961,-2.1699,-7.6294,0.621,0.0181,-325.9888,53.575,0.7217,3.0518,-75.839
0.010098457336425781,-2.2329,-12.2681,0.313,0.0225,-351.2573,36.953,0.9141,2.0142,-76.009
0.010071516036987305,-2.2329,-12.2681,0.313,0.0225,-351.2573,36.953,0.9141,2.0142,-76.009
0.010071277618408203,-2.2329,-12.2681,0.313,0.0225,-351.2573,36.953,0.9141,2.0142,-76.009
0.01007986068725586,-2.1421,-5.6152,-0.011,0.0381,-319.7021,21.308,1.0464,1.0376,-76.108
0.010088205337524414,-2.1421,-5.6152,-0.011,0.0381,-319.7021,21.308,1.0464,1.0376,-76.108
0.01007843017578125,-1.9209,-9.2773,-0.308,0.0264,-202.6978,9.558,1.144,2.4414,-76.146
0.010080337524414062,-1.9209,-9.2773,-0.308,0.0264,-202.6978,9.558,1.144,2.4414,-76.146
0.010079383850097656,-1.9209,-9.2773,-0.308,0.0264,-202.6978,9.558,1.144,2.4414,-76.146
0.010072708129882812,-1.7676,-3.1128,-0.428,0.0181,-107.3608,3.367,1.2944,2.5635,-76.174
0.010071277618408203,-1.7676,-3.1128,-0.428,0.0181,-107.3608,3.367,1.2944,2.5635,-76.174
0.010073661804199219,-1.7676,-3.1128,-0.428,0.0181,-107.3608,3.367,1.2944,2.5635,-76.174
0.010092496871948242,-1.7402,1.709,-0.335,-0.0039,63.2324,3.889,1.333,-0.7324,-76.306
0.010092020034790039,-1.7402,1.709,-0.335,-0.0039,63.2324,3.889,1.333,-0.7324,-76.306
0.010070562362670898,-1.8359,4.0283,-0.077,-0.0039,153.9307,10.794,1.292,-1.77,-76.586
0.01007390022277832,-1.8359,4.0283,-0.077,-0.0039,153.9307,10.794,1.292,-1.77,-76.586
0.01007080078125,-1.8359,4.0283,-0.077,-0.0039,153.9307,10.794,1.292,-1.77,-76.586
0.010092735290527344,-2.0479,7.5073,0.242,0.0215,259.1553,22.533,1.1558,-2.7466,-76.849
0.010080575942993164,-2.0479,7.5073,0.242,0.0215,259.1553,22.533,1.1558,-2.7466,-76.849
0.010078668594360352,-2.0479,7.5073,0.242,0.0215,259.1553,22.533,1.1558,-2.7466,-76.849
0.010072469711303711,-2.1353,8.667,0.67,0.0337,293.7622,37.2,1.0713,-1.9531,-77.036
0.010080099105834961,-2.1353,8.667,0.67,0.0337,293.7622,37.2,1.0713,-1.9531,-77.036
0.01007843017578125,-2.1792,6.958,1.252,0.0322,287.8418,52.575,0.874,-0.8545,-76.954
0.010088205337524414,-2.1792,6.958,1.252,0.0322,287.8418,52.575,0.874,-0.8545,-76.954
0.010071277618408203,-2.1792,6.958,1.252,0.0322,287.8418,52.575,0.874,-0.8545,-76.954
0.010077714920043945,-2.0938,8.728,2.302,0.0171,243.103,66.0,0.8101,-0.2441,-76.371
0.010088205337524414,-2.0938,8.728,2.302,0.0171,243.103,66.0,0.8101,-0.2441,-76.371
0.010071039199829102,-2.0938,8.728,2.302,0.0171,243.103,66.0,0.8101,-0.2441,-76.371
0.010078191757202148,-1.9277,-1.6479,3.911,0.019,134.0942,75.438,0.709,-1.0376,-75.059
0.010076761245727539,-1.9277,-1.6479,3.911,0.019,134.0942,75.438,0.709,-1.0376,-75.059
0.01029658317565918,-1.8501,5.8594,5.378,-0.0083,44.4946,79.59,0.6719,2.1973,-73.762
0.010088205337524414,-1.8501,5.8594,5.378,-0.0083,44.4946,79.59,0.6719,2.1973,-73.762
0.010081052780151367,-1.8501,5.8594,5.378,-0.0083,44.4946,79.59,0.6719,2.1973,-73.762
0.010069847106933594,-1.8862,-3.9062,4.856,0.0273,-91.4917,77.904,0.7075,-6.5308,-74.361
0.01007223129272461,-1.8862,-3.9062,4.856,0.0273,-91.4917,77.904,0.7075,-6.5308,-74.361
0.010082721710205078,-1.8862,-3.9062,4.856,0.0273,-91.4917,77.904,0.7075,-6.5308,-74.361
0.010071039199829102,-1.9849,-0.5493,2.791,0.0234,-169.7998,71.241,0.6826,4.8218,-76.487
0.010077714920043945,-1.9849,-0.5493,2.791,0.0234,-169.7998,71.241,0.6826,4.8218,-76.487
