delta,a_speed,a_position,b_speed,b_position
1.9073486328125e-06,0,0,0,0
0.11847352981567383,0,0,0,0
0.05945014953613281,0,0,0,0
0.048996925354003906,0,1,0,1
0.04955577850341797,0,7,0,7
0.04904675483703613,0,14,0,14
0.04994988441467285,0,23,0,23
0.050527334213256836,0,32,0,31
0.04928469657897949,0,41,0,40
0.04868721961975098,0,50,0,49
0.04904913902282715,0,60,0,58
0.04909706115722656,0,69,0,67
0.04808759689331055,0,78,0,76
0.05027914047241211,0,88,0,85
0.04812932014465332,0,97,0,94
0.051447391510009766,0,107,0,103
0.048970699310302734,0,116,0,112
0.0479738712310791,0,126,0,120
0.048983097076416016,0,135,0,129
0.04857325553894043,0,145,0,138
0.04807567596435547,0,154,0,147
0.048204660415649414,0,163,0,156
0.0480799674987793,0,173,0,164
0.04880976676940918,0,-179,0,173
0.04918384552001953,0,-169,0,-179
0.04980182647705078,0,-160,0,-170
0.04975628852844238,0,-150,0,-161
0.04901123046875,0,-141,0,-152
0.04840564727783203,0,-132,0,-143
0.048063039779663086,0,-122,0,-134
0.04817914962768555,0,-113,0,-125
0.04980611801147461,0,-104,0,-116
0.04907727241516113,0,-94,0,-108
0.04797053337097168,0,-85,0,-99
0.04813408851623535,0,-76,0,-90
0.048038482666015625,0,-66,0,-81
0.04811358451843262,0,-57,0,-73
0.049809932708740234,0,-48,0,-64
0.049288272857666016,0,-38,0,-55
0.047894954681396484,0,-29,0,-46
0.04809856414794922,0,-20,0,-37
0.04893183708190918,0,-10,0,-28
0.050604820251464844,0,-1,0,-19
0.04871058464050293,0,9,0,-10
0.04875063896179199,0,18,0,-2
0.049479007720947266,0,27,0,7
0.04829525947570801,0,37,0,16
0.04913139343261719,0,46,0,25
0.04925680160522461,0,56,0,34
0.049329280853271484,0,65,0,43
0.04848790168762207,0,75,0,52
0.048132896423339844,0,84,0,61
0.0487978458404541,0,93,0,70
0.04841470718383789,0,103,0,79
0.04809689521789551,0,112,0,88
0.04998779296875,0,122,0,97
0.048212528228759766,0,131,0,105
0.06867551803588867,0,144,0,118
0.04799056053161621,0,153,0,127
0.04866337776184082,0,163,0,136
0.04799318313598633,0,172,0,145
0.04866790771484375,0,-180,0,153
0.04828929901123047,0,-170,0,162
0.04977250099182129,0,-161,0,171
0.048146963119506836,0,-151,0,180
0.05249428749084473,0,-141,0,-171
0.0489964485168457,0,-132,0,-162
0.04823923110961914,0,-123,0,-153
0.048454999923706055,0,-113,0,-144
0.04843640327453613,0,-104,0,-136
0.048352718353271484,0,-95,0,-127
0.0482182502746582,0,-85,0,-118
0.0479428768157959,0,-76,0,-109
0.04849123954772949,0,-67,0,-100
0.048206329345703125,0,-57,0,-91
0.04810166358947754,0,-48,0,-82
0.04955554008483887,0,-39,0,-73
0.051079511642456055,0,-29,0,-64
0.050342559814453125,0,-19,0,-55
0.04926490783691406,0,-9,0,-46
0.048040151596069336,0,0,0,-37
0.04842376708984375,0,9,0,-28
0.04922032356262207,0,19,0,-19
0.04821205139160156,0,28,0,-10
0.05160403251647949,0,38,0,-1
0.048487186431884766,0,47,0,8
0.04997515678405762,0,57,0,17
0.04849553108215332,0,66,0,26
0.04946160316467285,0,76,0,35
0.04838085174560547,0,85,0,44
0.05317997932434082,0,95,0,54
0.04816722869873047,0,104,0,62
0.04935884475708008,0,114,0,72
0.05271768569946289,0,124,0,81
0.056780099868774414,0,135,0,92
0.050441741943359375,0,145,0,101
0.05356240272521973,0,155,0,111
0.05484795570373535,0,166,0,121
0.05273938179016113,0,176,0,130
0.052364349365234375,0,-175,0,140
0.05240774154663086,0,-165,0,149
0.051665306091308594,0,-155,0,159
0.05144858360290527,0,-145,0,169
0.05109286308288574,0,-135,0,178
0.0527188777923584,0,-125,0,-173
0.05076932907104492,0,-115,0,-164
0.051259517669677734,0,-105,0,-155
0.052669525146484375,0,-95,0,-145
0.05206108093261719,0,-85,0,-135
0.05156707763671875,0,-75,0,-126
0.05159473419189453,0,-65,0,-116
0.052471160888671875,0,-55,0,-107
0.05234718322753906,0,-45,0,-97
0.05300331115722656,0,-34,0,-88
0.05325722694396973,0,-24,0,-78
0.05156755447387695,0,-14,0,-69
0.05100870132446289,0,-4,0,-59
0.05893301963806152,0,7,0,-48
