delta,a_speed,a_position,b_speed,b_position
1.430511474609375e-06,0,0,0,0
0.06049013137817383,0,0,0,0
0.058339834213256836,0,0,0,0
0.04863715171813965,0,2,0,2
0.04906344413757324,0,7,0,6
0.050223350524902344,0,12,0,11
0.04920029640197754,0,17,0,17
0.049019575119018555,0,22,0,21
0.05035805702209473,0,27,0,27
0.04962420463562012,0,33,0,32
0.048356056213378906,0,38,0,37
0.04858803749084473,0,43,0,42
0.048433542251586914,0,49,0,48
0.06729412078857422,0,56,0,55
0.04931068420410156,0,61,0,60
0.050629377365112305,0,67,0,65
0.049318552017211914,0,72,0,70
0.049880266189575195,0,78,0,76
0.048519134521484375,0,83,0,81
0.04942774772644043,0,88,0,86
0.048478126525878906,0,94,0,91
0.04893922805786133,0,99,0,96
0.04899477958679199,0,104,0,101
0.04903697967529297,0,110,0,106
0.04853057861328125,0,115,0,112
0.048868656158447266,0,120,0,117
0.04861736297607422,0,126,0,122
0.048532724380493164,0,131,0,127
0.04826545715332031,0,136,0,132
0.04842233657836914,0,141,0,137
0.049302101135253906,0,147,0,143
0.048699378967285156,0,152,0,148
0.05027031898498535,0,157,0,153
0.048364877700805664,0,162,0,158
0.048921823501586914,0,168,0,163
0.04874110221862793,0,173,0,168
0.049224138259887695,0,179,0,174
0.04838395118713379,0,-177,0,179
0.04823803901672363,0,-172,0,-177
0.04915809631347656,0,-167,0,-172
0.05069112777709961,0,-161,0,-167
0.048369646072387695,0,-156,0,-161
0.048120975494384766,0,-151,0,-156
0.04813694953918457,0,-145,0,-151
0.06757068634033203,0,-138,0,-144
0.048475027084350586,0,-133,0,-139
0.048254966735839844,0,-127,0,-134
0.060175418853759766,0,-121,0,-128
0.04819989204406738,0,-116,0,-122
0.04926633834838867,0,-110,0,-117
0.048036813735961914,0,-105,0,-112
0.04825854301452637,0,-100,0,-107
0.05063223838806152,0,-94,0,-102
0.049274444580078125,0,-89,0,-97
0.04887652397155762,0,-83,0,-92
0.04929995536804199,0,-78,0,-86
1.2903196811676025,0,62,0,50
0.04816246032714844,0,68,0,55
0.0490725040435791,0,73,0,60
0.04816102981567383,0,78,0,65
0.048804283142089844,0,84,0,71
0.04937386512756348,0,89,0,76
0.06441807746887207,0,96,0,82
0.04852151870727539,0,101,0,87
0.048449039459228516,0,107,0,93
0.047962188720703125,0,112,0,98
0.052903175354003906,0,118,0,103
0.054137229919433594,0,123,0,109
0.0523681640625,0,129,0,115
0.05260467529296875,0,135,0,120
0.051755428314208984,0,140,0,125
0.05190849304199219,0,146,0,131
0.052358388900756836,0,152,0,137
0.05249428749084473,0,157,0,142
0.0513918399810791,0,163,0,147
0.0512394905090332,0,169,0,153
0.05166792869567871,0,174,0,158
0.051766395568847656,0,180,0,164
0.052352190017700195,0,-176,0,169
0.05256462097167969,0,-170,0,175
0.05207014083862305,0,-164,0,180
0.0530543327331543,0,-158,0,-175
0.05858492851257324,0,-152,0,-169
0.052445173263549805,0,-146,0,-163
0.05297231674194336,0,-140,0,-158
0.053258657455444336,0,-135,0,-152
0.051784515380859375,0,-129,0,-147
0.05308413505554199,0,-123,0,-141
0.05146598815917969,0,-118,0,-136
0.0507204532623291,0,-112,0,-130
0.05151844024658203,0,-106,0,-125
0.05160236358642578,0,-100,0,-119
0.052060604095458984,0,-95,0,-114
0.05117344856262207,0,-89,0,-109
0.051871538162231445,0,-83,0,-103
0.051924943923950195,0,-78,0,-97
0.051871538162231445,0,-72,0,-92
0.05205392837524414,0,-66,0,-87
0.05141043663024902,0,-61,0,-81
0.0515444278717041,0,-55,0,-76
0.05142974853515625,0,-50,0,-70
0.051560163497924805,0,-44,0,-65
0.052735090255737305,0,-38,0,-59
0.054062843322753906,0,-32,0,-53
